stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,iridophores,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros
  3-4,65.89,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,649.74,0,0,0,0,0,0,0,0,18.39,0,0,6.13,18.39,0,0
  7-9,7.89,18.4,39.43,0,0,31.54,0,21.03,0,0,323.33,18.4,0,107.78,0,0,0
 10-12,0,6.29,15.73,0,9.44,25.18,0,9.44,0,0,298.96,9.44,0,147.91,0,3.15,12.59
 24-34,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,1.15,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0.98,2.94,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
