stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,1,2,0,4,0,1,0,0,3,0,3,46,1,0,1,1,0,7,4,9,1,0
 24-34,0,0,0,3.28,0,5.75,0,0.82,0,0,0,0,9.03,0,1.64,49.25,0,2.46,0.82,0,0,0,0,13.95,0.82,0.82
 36-46,0,0,0,0,0,6.45,0,0.81,0,0,0,0,2.42,0,0,34.64,0,0,0,0,0,0,0,9.67,0,0
 48-58,0,0,0,0,0,12.05,0,1.72,0,0,0,0,3.44,1.15,0.57,13.77,0,0.57,0.57,0,0,0,0,4.59,1.15,0
 60-70,0,0,0,0,0,5.89,0,0,0,0,0,0,5.89,0,0,7.85,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,2.94,0,1.96,0,0,0,0,6.87,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.25,0,1.06,2.12,0,0,0,1.06,0,2.12,6.37,0,0,0,0,1.06,0,0,0,2.12,0
 96-106,0,0,0,1.09,0,3.28,0,0,0,0,0,0,3.28,0,0,8.74,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0.77,0.77,3.83,0,0,0.77,0.77,2.3,0,0.77,7.66,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,5.88,1.96,0,0,0,0,0,0,0,0,0,0
