stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,20,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,112.46,0,0.82,0,0,0,0,0,37.76,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0.81,0,0,225.59,0,0,0,0,0,0,0,49.95,0,0
 48-58,0,1.72,0,28.12,2.87,0,0,0,0,2.87,0,0,302.4,0,0,0,0,0.57,0.57,0,27.54,0,0
 60-70,0,1.96,0,105.02,4.91,0,0.98,0.98,0.98,6.87,0.98,0,680.19,0,0,0,0,0,0,0,41.22,0,0
 72-82,0,3.93,0.98,102.09,5.89,0,0.98,0,0,3.93,0,0.98,500.65,0,0,0,0,0,0,0,16.69,0,0
 84-94,0,1.06,1.06,57.35,15.93,0,0,1.06,1.06,7.43,0,0,229.4,0,0,1.06,0,0,0,0,12.74,1.06,1.06
 96-106,0,0,0,29.51,3.28,0,0,1.09,0,2.19,0,0,162.83,0,0,1.09,0,0,0,0,5.46,0,0
108-118,0,1.53,0,26.81,4.6,0,0,0,0,3.06,0,0,173.87,0,0,0,0,0,0,0,6.13,0,0
120,0,3.92,0,23.52,1.96,0,0,0,0,1.96,0,0,192.06,1.96,0,0,0,0,1.96,0,3.92,0,0
