stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,36.8,0,0,15.77,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,14,1,0,0,1,0,0,0,5,0
 24-34,0,0,0,0.82,0,0.82,0,0.82,0.82,0,0.82,0,0.82,0,0,3.28,0,0.82,11.49,0,0.82,0,1.64,0,0.82,0.82,4.1,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,1.61,0,0.81,8.86,0,0,0,1.61,0,0,0,4.03,0
 48-58,0,0,0,1.15,0,1.72,0.57,0,1.72,0,0,0,0,0,0.57,1.72,1.15,0,12.05,0,0,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0.98,0,4.91,0,0,0.98,0,0,0,0.98,0,0.98,0.98,0,0,9.82,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,1.96,0,0.98,6.87,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,1.06,1.06,0,3.19,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,3.28,0,0,2.19,0,0,0,0,0,0,2.19,0,0,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,1.53,0,0,0,0,0,0,1.53,0.77,0,5.36,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,1.96,1.96,0,0,0,0,1.96,0,1.96,0,0,9.8,0,0,0,0,0,0,0,1.96,0
