stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,34.17,5.26,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,2,0,1,1,5,0,0,0,0
 24-34,0,0.82,0.82,0.82,0,0,0.82,0,0,0,2.46,0,0,4.1,0,0,2.46,27.09,0,0,0.82,0,0,0,0,6.57,0,2.46,0,0
 36-46,0,0,1.61,0,4.83,0,1.61,0,0,0,0.81,0,0,4.03,0,0,1.61,27.39,0,0,0,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,6.89,0,1.72,0,0,0.57,2.87,0,0,0.57,0.57,0.57,0.57,23.53,0.57,0,0,0,0.57,0,0,8.03,0,0,0,0
 60-70,0,0,0.98,0,11.78,0,0.98,0,0,0,0.98,0,0,1.96,0,0,0,23.56,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,1.96,0,3.93,0,2.94,1.96,0,0,1.96,0,0.98,4.91,0,0.98,0,19.63,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,8.5,0,6.37,0,0,1.06,0,0,4.25,0,1.06,1.06,0,0,0,9.56,0,0,0,0,1.06,0,0,0,4.25,1.06,1.06,0
 96-106,0,0,3.28,0,2.19,1.09,0,12.02,0,0,4.37,0,0,1.09,0,0,1.09,7.65,0,2.19,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,6.13,0,3.83,0,0,9.19,0,0,1.53,0.77,0,2.3,0,0,0,2.3,0,0.77,0,0,1.53,0,0,0,8.43,0,0,0.77
120,0,0,1.96,1.96,0,0,3.92,11.76,0,0,1.96,0,0,5.88,0,0,1.96,9.8,0,0,0,0,0,0,0,0,1.96,0,0,0
