stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,5.75,0,0,0,0.82,0.82,0.82,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0.81,10.47,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,5.16,0,1.72,0,0,0,1.15,0,0,0,8.03,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,2.94,0,25.52,0,1.96,0,0,0,1.96,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,9.82,0,65.77,0,14.72,0,1.96,0.98,0.98,0,8.83,0,0.98,0,0.98,0,0,0,0,1.96
 84-94,1.06,0,0,5.31,0,61.6,0,26.55,0,3.19,0,1.06,2.12,5.31,0,0,0,0,0,0,0,0,0
 96-106,2.19,0,0,8.74,3.28,56.83,1.09,43.71,1.09,4.37,0,0,1.09,13.11,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,6.89,0,74.3,0,39.06,0,1.53,0,0,0.77,12.26,0,0,0,0,0,0,0,0,2.3
120,1.96,1.96,0,11.76,0,80.35,0,47.03,0,0,0,0,1.96,13.72,0,0,1.96,0,0,0,1.96,0,0
