stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,neural,periderm,somites,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,47.61,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0.81,39.48,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,0,1.72,0,4.02,18.94,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,17.67,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0,0,14.72,0,0
 84-94,0,0,0,0,0,1.06,1.06,1.06,0,3.19,1.06,0,0,1.06,53.1,0,0
 96-106,0,0,0,0,2.19,2.19,0,2.19,0,0,0,0,0,1.09,59.01,0,0
108-118,0,0,2.3,0,0,0,0,3.06,0,1.53,0,0.77,0,2.3,53.62,0,0
120,0,0,1.96,1.96,1.96,1.96,0,3.92,0,0,0,0,1.96,0,35.28,0,0
