stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,1,2,0,0,0,0
 24-34,0,0,39.4,0,0,9.03,0,0,0,0,0,0.82,0,4.1,0,0,2.46,6.57,0,0.82,0,0,0.82,0.82,1.64,0,0,0,0
 36-46,0,0,36.26,0,0,13.7,0,3.22,0,0,0,0,0,0.81,0,0,0.81,10.47,0,0,0,0,0.81,0,1.61,0,0.81,0,0
 48-58,0,0,26.4,0,4.02,19.51,1.15,10.33,0,0,0,0,0,1.72,0,0,0,9.75,1.15,0,0,0,0,0,4.59,0,0,0,0
 60-70,0,0,43.19,0,3.93,18.65,0,2.94,0,0,1.96,0,0,1.96,0,0,0,11.78,0,0,0,0,0.98,0,0.98,0,0.98,0,0.98
 72-82,0,0,49.08,1.96,20.61,20.61,0.98,5.89,0,0,0,2.94,0,2.94,0.98,0,0.98,11.78,0,0,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,1.06,100.89,1.06,8.5,30.8,0,1.06,0,0,2.12,2.12,0,5.31,1.06,1.06,0,6.37,0,0,0,0,3.19,0,2.12,0,0,0,0
 96-106,0,0,80.87,1.09,19.67,30.6,0,4.37,2.19,1.09,2.19,0,0,4.37,0,0,0,4.37,0,1.09,0,0,1.09,0,1.09,0,0,1.09,0
108-118,0,0,83.49,0,13.79,42.89,0.77,7.66,3.83,0,1.53,1.53,0,4.6,0.77,0,0,6.13,2.3,0,0,0,1.53,0,0,0.77,0,0,0
120,0,0,78.39,0,3.92,43.12,0,1.96,1.96,0,1.96,1.96,1.96,7.84,1.96,0,0,3.92,0,0,0,0,1.96,0,0,1.96,0,0,0
