stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,0,9,0,0,0,1,0,0,0,0,0,0,1,8,3,0,0,0,64,1,0,0,0,0,0,5,0,0,26,32,0,0,1,0,1
 24-34,0,1.64,0,6.57,0,9.03,0,0.82,0,4.93,1.64,0,7.39,0.82,0,0,0,30.37,3.28,0,0,18.06,347.22,3.28,0.82,0,0,0,3.28,0,0,0.82,6.57,159.25,0,0,0,0,3.28
 36-46,0,0,0,2.42,0,19.34,0,0,1.61,20.95,0.81,0.81,15.31,0.81,0,0,0,21.75,23.36,0,0.81,12.09,554.3,2.42,0,2.42,0,0,1.61,0,0,0,0,238.48,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,119.93,0.57,0,0.57,53.94,0,0,16.07,0,0,0,0,17.21,29.26,0,0.57,7.46,503.8,0,1.15,1.15,0,0,0.57,0,0,0,0,231.82,0,0,0.57,0,2.3
 60-70,0,0,0,0,0,445.61,0.98,0,0,93.24,0,0,14.72,0,0,0,0.98,4.91,32.39,0.98,0,2.94,1012.93,0.98,0.98,0.98,0,0.98,1.96,0,0,0,0,192.38,0,0,0,0,3.93
 72-82,0,0,0,16.69,2.94,589,0,1.96,4.91,157.07,1.96,0,19.63,0,0,0,0.98,5.89,48.1,0,2.94,7.85,794.16,0,3.93,4.91,0,0.98,1.96,0,0,0,0,100.13,0.98,0,4.91,0,4.91
 84-94,0,1.06,0,8.5,0,340.91,0,2.12,1.06,110.45,0,1.06,41.42,0,0,0,1.06,11.68,32.92,0,1.06,1.06,416.32,1.06,2.12,4.25,0,0,5.31,0,0,0,0,56.29,0,0,1.06,3.19,3.19
 96-106,0,0,0,5.46,0,368.29,0,1.09,1.09,132.23,0,0,48.09,1.09,0,2.19,1.09,9.84,34.97,0,3.28,5.46,366.1,0,4.37,3.28,0,1.09,4.37,0,0,0,0,27.32,0,3.28,3.28,3.28,6.56
108-118,0,0,0,8.43,0.77,271.15,0,0.77,0.77,108.77,0.77,0,45.96,2.3,3.06,1.53,0,9.96,31.4,0,0,0.77,445.79,0,0,4.6,0,0,0.77,0,0,0,0,20.68,0,0,3.06,0.77,9.96
120,0,0,0,9.8,0,237.13,1.96,1.96,1.96,129.35,3.92,0,41.16,0,1.96,0,1.96,7.84,13.72,0,0,7.84,460.55,0,3.92,7.84,0,3.92,7.84,0,0,0,0,23.52,0,0,1.96,0,1.96
