stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,71,2,6,0,0,0,0,1,0,0,0,3,0,0,1,0,5,1,0,7,47,0,0,4,1,0,91,0,4,1,112,65,34,0,0,0,0,0
 24-34,0,1.64,56.64,0.82,18.06,27.91,0,0,4.1,0,0,4.1,0.82,21.34,0,21.34,0.82,0,26.27,0,0,16.42,261.03,0.82,4.93,4.1,0,1.64,214.24,0,0,0.82,69.77,87.01,139.55,0,0,1.64,0,0.82
 36-46,0,0,16.11,0,33.84,53.17,2.42,0,5.64,0,0,0,0,4.83,0,21.75,3.22,0,33.84,0.81,0,18.53,320.66,0,4.03,2.42,0,0,172.41,0,0,0,48.34,17.72,168.38,0,0,3.22,0.81,0.81
 48-58,1.15,0,13.77,0,103.86,49.35,2.87,2.3,17.79,0,0,2.87,0,2.3,0.57,20.66,3.44,0.57,74.59,0,2.87,21.8,360.92,0,3.44,4.59,0,0,128.53,0,0,0,39.59,0,109.6,0,1.15,1.15,0,0
 60-70,4.91,0,18.65,0,286.6,40.24,5.89,4.91,83.43,3.93,0.98,2.94,0,7.85,0.98,15.7,5.89,0,149.19,0.98,3.93,22.58,483.89,0,1.96,6.87,0.98,0,116.8,0,0,1.96,23.56,0,95.21,0.98,2.94,0,1.96,1.96
 72-82,4.91,0,25.52,2.94,510.46,27.49,3.93,14.72,221.86,37.3,0,0,0,8.83,1.96,27.49,5.89,0.98,293.52,0.98,4.91,38.28,711.7,0,0.98,17.67,0.98,3.93,128.6,0,0,0,14.72,0,75.59,0.98,7.85,2.94,4.91,0.98
 84-94,2.12,0,27.61,4.25,347.29,27.61,2.12,10.62,173.11,29.74,2.12,2.12,0,11.68,4.25,26.55,0,0,214.53,1.06,3.19,29.74,378.09,0,3.19,20.18,0,1.06,319.67,0,0,3.19,23.36,0,59.47,5.31,9.56,2.12,9.56,0
 96-106,3.28,0,60.11,1.09,382.5,30.6,9.84,10.93,225.13,99.45,0,1.09,1.09,15.3,1.09,36.06,5.46,0,276.49,5.46,2.19,24.04,372.66,1.09,17.49,31.69,0,8.74,289.6,2.19,0,1.09,21.86,0,29.51,2.19,5.46,2.19,4.37,2.19
108-118,2.3,0.77,42.89,0.77,302.56,36,3.83,8.43,183.07,78.13,0,0,0.77,16.09,4.6,22.98,2.3,1.53,220.6,3.83,7.66,36.77,382.98,0,8.43,31.4,0,6.89,194.55,0,0,2.3,21.45,0,19.15,8.43,6.13,1.53,1.53,1.53
120,3.92,0,70.55,0,290.05,17.64,11.76,9.8,105.83,48.99,0,0,3.92,13.72,3.92,11.76,0,0,205.78,7.84,13.72,47.03,454.67,0,9.8,21.56,0,5.88,166.58,0,0,5.88,3.92,0,23.52,3.92,7.84,1.96,0,0
