stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1278.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,55.17,1109.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,2.63,0,10.51,0,44.69,0,5.26,0,0,0,0,0,0,0,0,0,0,205.04,7.89,0,0,128.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,18.88,0,3.15,0,0,0,0,0,0,0,0,0,0,166.79,6.29,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,11,0,0,0,0,0,0,4,0,2,2,0,1,0,0
 24-34,0,0,0,0.82,4.1,6.57,2.46,0,0,0,0,0,0,0,4.93,0,0,4.1,59.1,0,0.82,0,0,0,0,0,0,0,9.03,0,0.82,0,0
 36-46,0,0,0,0,0,8.06,1.61,0,0,0,1.61,0,0,0.81,4.03,0,0,0.81,20.95,0,0,0,0,0,0.81,0,0,0,4.83,0,0.81,0,0
 48-58,0,0,0,0,1.72,15.49,1.72,0,0.57,0,0,0,0,0,1.72,0,0,1.15,29.26,0,0,0.57,0,0.57,0,0,0,0,4.02,0,0,0,0.57
 60-70,0,0,0,0,0.98,10.8,1.96,0,0,0,0,0,0.98,0,5.89,0,0.98,0,22.58,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0,2.94,1.96,0,0,0,0,0,0.98,0,6.87,0.98,0.98,5.89,8.83,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0
 84-94,0,0,0,0,0,2.12,2.12,0,0,0,0,1.06,0,0,2.12,0,0,1.06,3.19,0,0,0,0,0,2.12,0,0,0,1.06,1.06,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,3.28,0,1.09,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,2.3,0,0,0.77,0,0,0.77,0,2.3,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,5.88,0,0,0,3.92,0,0,0,0,5.88,0,0,3.92,7.84,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
