stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,13.14,36.8,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,18.88,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,13,2,1,2,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0.82,1.64,0.82,0,0,3.28,0,0,0,11.49,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,9.67,0,1.61,0,0.81,0,0,0,0
 48-58,0,0,3.44,0,2.87,0,0.57,0,0,0,0,0,0,4.02,0,0,4.59,0,1.72,0,3.44,0,0,0,0,0,0,0,0
 60-70,0,0,11.78,0,3.93,0,0,0,0,0,0,0,0.98,0.98,0,0.98,7.85,0,0.98,0,8.83,0,0,0,0,0,0,0,0
 72-82,0,0,26.5,1.96,2.94,0,0,1.96,0,0,0,0,0.98,0.98,0,0,1.96,0,0,0,14.72,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,60.54,0,4.25,1.06,1.06,3.19,0,1.06,0,0,0,1.06,0,0,5.31,0,0,0,15.93,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,91.8,0,2.19,1.09,0,2.19,0,3.28,1.09,0,0,0,1.09,1.09,5.46,0,2.19,0,43.71,0,0,0,0,1.09,0,1.09,0
108-118,0,0,87.32,1.53,0.77,1.53,0,7.66,0,6.13,0,0,0,0.77,0,0,4.6,0,4.6,0,45.19,0,0.77,0,0,6.13,1.53,0,0
120,0,0,60.75,3.92,3.92,7.84,0,3.92,1.96,0,0,0,0,0,0,0,1.96,0,1.96,0,21.56,0,0,0,0,1.96,0,0,0
