stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,5.26,0,0,0,0,52.57,0,0,34.17,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,40.91,0,0,3.15,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0.57,0,0.57,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,5.88,0,1.96,0,0,0,0
