stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,28,5,0,12,0,1,0,3,1,3,1,0,1,0,0,0,0,13,0,0,11,144,5,0,2,3,0,38,1,11,1,1,23,48,0,0,2,0,0
 24-34,0,0,2.46,36.94,9.85,0,41.04,0,1.64,0,9.03,3.28,0,3.28,0.82,1.64,0,0,2.46,0.82,37.76,0.82,0,22.98,240.51,7.39,2.46,4.1,0,0,109.17,0,0.82,3.28,1.64,2.46,64.03,0,0,20.52,0,0
 36-46,0.81,0,0,45.12,1.61,0,31.42,2.42,4.83,0.81,10.47,0,0,3.22,0,0.81,0,0.81,0,5.64,58.01,0.81,0,22.56,168.38,8.86,3.22,3.22,0,0.81,108.77,0,0,3.22,1.61,0.81,52.37,0,0,20.95,0,0
 48-58,0,0,0,5.16,0,0,25.82,2.3,2.87,0.57,3.44,0,0,1.15,0,0,0.57,0,0.57,2.87,20.08,0,2.87,5.16,48.77,1.15,0,1.15,0,0,30.99,0,0,1.72,1.15,0,11.48,0,0,9.18,0,1.72
 60-70,0,0,0,9.82,0,0,38.28,0.98,6.87,0,4.91,0,0,2.94,0,0,0,0.98,0,1.96,38.28,0.98,0,9.82,52.02,4.91,0,3.93,0,0,43.19,0,0,0.98,0,0,11.78,0,0.98,7.85,0,4.91
 72-82,0,0,0,3.93,0.98,0,9.82,0,0.98,0.98,4.91,0.98,0,0,0,0.98,0,0,0,0.98,11.78,1.96,0.98,0,20.61,1.96,0.98,0.98,0,0,39.27,0,0,0.98,0.98,0,3.93,0,0.98,2.94,0.98,0.98
 84-94,0,0,0,8.5,0,0,7.43,0,1.06,0,3.19,0,1.06,1.06,0,0,1.06,1.06,0,0,20.18,0,0,2.12,2.12,2.12,1.06,0,0,0,72.22,0,0,0,0,0,2.12,0,1.06,6.37,0,0
 96-106,0,0,0,6.56,0,0,3.28,0,1.09,0,3.28,1.09,0,0,1.09,0,0,0,0,0,12.02,0,2.19,2.19,6.56,2.19,0,0,0,1.09,64.48,0,0,3.28,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,9.96,0,1.53,2.3,0,2.3,0,1.53,1.53,0,0,0,1.53,0.77,0,1.53,0.77,10.72,0,0,0.77,7.66,1.53,0.77,3.06,0,0,71.23,0,0,1.53,0.77,0,1.53,0.77,0,2.3,0,0.77
120,0,0,0,9.8,0,1.96,0,0,1.96,1.96,0,0,0,1.96,0,1.96,0,0,1.96,0,7.84,0,1.96,0,9.8,1.96,0,1.96,0,0,33.32,0,0,0,0,0,1.96,0,0,1.96,0,1.96
