stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,6,44,12,0,32,0,0,0,12,2,1,2,0,1,0,0,1,0,24,0,0,31,348,4,1,5,2,0,6,0,31,2,1,29,137,0,0,1,0,0
 24-34,0,0.82,18.06,1.64,0,83.73,0,0,0.82,16.42,0.82,0,1.64,4.1,1.64,0,0.82,1.64,1.64,46.79,0.82,0,22.16,875.03,6.57,6.57,9.03,0,0,20.52,0,0.82,2.46,0.82,7.39,218.35,0,0,8.21,0,1.64
 36-46,0.81,0,8.86,0.81,0,124.07,0,0.81,3.22,30.62,0,0,0.81,1.61,3.22,0,1.61,0,0,70.09,0.81,3.22,19.34,1098.13,4.03,6.45,4.83,0,0.81,15.31,0,0,0.81,0.81,0,278.76,0,0.81,8.06,0,1.61
 48-58,0,0,10.9,0,0,243.29,0,2.3,2.3,55.66,0,0,0.57,2.87,1.15,0.57,0,0.57,1.15,83.78,1.15,2.3,10.33,969.16,1.15,5.16,4.02,0,0.57,6.31,0,0,2.3,0,0,227.8,0,0.57,5.16,0,4.02
 60-70,0.98,0,9.82,0.98,0,406.35,0,6.87,5.89,61.84,0.98,0,1.96,4.91,1.96,0.98,2.94,1.96,0.98,125.63,0,0.98,10.8,1131.69,0.98,11.78,5.89,0,1.96,13.74,0,0,0,0,0,170.78,0.98,1.96,6.87,0,1.96
 72-82,2.94,0,18.65,8.83,0,337.69,0.98,5.89,2.94,72.64,5.89,0.98,3.93,6.87,1.96,0.98,3.93,1.96,2.94,153.14,1.96,2.94,19.63,871.72,0.98,7.85,12.76,0,0,15.71,0,0,1.96,0.98,0,91.29,2.94,6.87,6.87,1.96,0.98
 84-94,2.12,0,29.74,6.37,0,254.89,1.06,7.43,3.19,50.98,9.56,0,1.06,18.05,3.19,2.12,4.25,1.06,3.19,96.65,2.12,7.43,12.74,488.54,6.37,6.37,11.68,0,2.12,48.85,1.06,0,4.25,0,0,57.35,5.31,2.12,10.62,3.19,0
 96-106,3.28,0,29.51,14.21,0,217.48,2.19,3.28,3.28,60.11,14.21,0,2.19,19.67,5.46,3.28,3.28,1.09,8.74,122.4,3.28,2.19,8.74,378.12,4.37,19.67,15.3,0,1.09,40.44,0,0,0,1.09,0,30.6,4.37,2.19,18.58,6.56,4.37
108-118,0.77,0,40.6,3.06,3.83,166.21,0.77,6.89,9.96,58.98,5.36,0,0,15.32,5.36,5.36,2.3,2.3,6.89,65.87,6.13,2.3,9.19,431.24,1.53,8.43,18.38,0,1.53,35.23,0,0,1.53,0,0,17.62,5.36,1.53,17.62,4.6,3.83
120,1.96,0,54.87,5.88,0,121.51,0,3.92,1.96,41.16,5.88,0,0,19.6,3.92,3.92,3.92,1.96,3.92,68.59,0,3.92,11.76,515.42,1.96,19.6,13.72,0,3.92,17.64,0,0,9.8,0,0,17.64,1.96,0,13.72,5.88,1.96
