stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,1,0,0,9,1,1,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,1.64,0,0,0,0.82,0,0,8.21,0,2.46,0,0.82,0.82,0,0,30.37,0,20.52,0.82,0,63.21,1.64,5.75,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,8.86,0,3.22,0,0.81,0,0,0.81,30.62,0,42.7,0,0,87.01,1.61,11.28,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,2.3,0,1.15,0.57,3.44,0,3.44,0,0.57,1.15,0,0,22.95,0,20.66,0.57,0,79.76,0,6.31,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,4.91,0,0,0,2.94,0.98,0,4.91,0.98,11.78,0,0.98,0,0,0.98,30.43,0,35.33,1.96,0,67.73,3.93,6.87,0.98,0,0,0
 72-82,0,0,0,0,0,0.98,9.82,0,0,2.94,24.54,0.98,0,4.91,0.98,22.58,0,5.89,0.98,0.98,0.98,40.25,0,74.61,2.94,0,31.41,14.72,0.98,1.96,0,0,0
 84-94,0,0,0,0,0,0,9.56,1.06,0,2.12,38.23,2.12,0,8.5,1.06,22.3,1.06,3.19,0,0,0,24.43,1.06,90.27,1.06,0,115.76,33.99,2.12,2.12,0,1.06,0
 96-106,0,0,1.09,0,1.09,1.09,13.11,1.09,0,4.37,78.68,0,3.28,12.02,0,55.74,0,5.46,1.09,0,1.09,24.04,0,130.05,1.09,0,71.04,29.51,1.09,2.19,0,0,0
108-118,0,0,0,0,3.83,0,12.26,0,0.77,0.77,126.38,0,0.77,16.85,0.77,36,3.06,1.53,0.77,0,0.77,22.21,0,80.43,1.53,0,38.3,23.74,0.77,0,0,0,0
120,1.96,0,0,0,1.96,1.96,3.92,0,0,1.96,137.18,0,0,13.72,1.96,31.36,1.96,5.88,0,0,0,31.36,0,60.75,0,0,41.16,25.48,1.96,0,1.96,0,0
