stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,2213.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1728.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,0,49.04,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,31.54,86.75,0,0,0,84.12,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,875.36,21.03,0,0,365.39,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,56.65,47.2,0,6.29,0,110.14,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,752.13,18.88,0,0,298.96,0,0,6.29,3.15,40.91,0,0,6.29,0,0,0,0,0
 14-21,0,0,2,27,2,0,36,0,0,0,9,1,1,1,0,0,0,0,0,0,31,0,0,16,555,7,1,6,23,0,2,1,80,5,0,29,175,0,0,2,0,0
 24-34,0,0.82,2.46,36.12,0.82,0,228.2,0,3.28,0.82,33.66,2.46,0.82,0.82,3.28,0,0.82,0.82,2.46,0.82,143.65,0.82,0.82,55.82,1745.96,5.75,13.13,22.98,0,0,37.76,0,0,3.28,0.82,12.31,419.46,0,0,28.73,0,0.82
 36-46,0,0,0.81,12.89,12.09,0,514.02,0,0.81,1.61,40.28,1.61,0,0,4.03,0.81,2.42,0,0.81,0.81,117.63,0.81,3.22,37.06,1149.69,4.03,7.25,6.45,0,0,20.14,0,0,4.83,0,0.81,319.85,0,0,5.64,0,1.61
 48-58,0,0,0,26.4,40.74,0,635.2,0,0.57,2.3,44.18,2.3,0,2.87,3.44,0,4.02,1.72,0.57,1.15,149.19,1.15,8.03,35,578.4,2.87,5.74,6.31,0,0,9.18,0,0,0.57,0,0.57,142.3,0,0,9.75,0,1.72
 60-70,0.98,0,0,26.5,4.91,0,372.98,0,0,1.96,53,0.98,0,1.96,1.96,0,0.98,2.94,0.98,0,92.26,0,7.85,22.58,254.21,1.96,2.94,3.93,0,0,8.83,0,0,0,0,0,22.58,0,0.98,2.94,0,1.96
 72-82,0,0,0,29.45,5.89,0,202.22,0.98,1.96,4.91,76.57,5.89,0,1.96,3.93,0,2.94,1.96,0.98,0,180.63,0,8.83,21.6,225.78,0,7.85,8.83,0.98,0.98,5.89,0.98,0,0,0,0,14.72,1.96,0.98,17.67,0.98,0
 84-94,1.06,0,1.06,43.54,6.37,1.06,183.73,0,3.19,4.25,53.1,7.43,0,3.19,16.99,4.25,5.31,2.12,6.37,2.12,147.62,1.06,12.74,39.3,209.22,5.31,8.5,10.62,0,0,19.12,0,0,4.25,1.06,0,10.62,5.31,1.06,15.93,1.06,1.06
 96-106,0,0,0,32.79,8.74,0,142.07,1.09,1.09,4.37,76.5,9.84,0,8.74,16.39,2.19,4.37,4.37,4.37,0,139.88,0,5.46,15.3,187.97,5.46,7.65,7.65,0,3.28,15.3,1.09,0,1.09,0,0,6.56,2.19,2.19,22.95,1.09,2.19
108-118,0,0,0.77,28.34,14.55,1.53,150.89,0,5.36,1.53,71.23,3.83,0,0,11.49,2.3,6.13,0.77,3.83,0.77,101.87,1.53,7.66,24.51,252.77,5.36,5.36,13.79,0,0,12.26,0.77,0,0.77,0,0,5.36,1.53,6.13,13.79,0.77,3.06
120,0,0,0,27.44,23.52,0,146.98,0,1.96,1.96,29.4,5.88,0,1.96,15.68,1.96,0,0,1.96,0,80.35,0,1.96,27.44,219.5,1.96,3.92,7.84,0,1.96,25.48,0,0,1.96,0,0,1.96,1.96,5.88,19.6,1.96,0
