stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,25.18,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,3.15,113.29,12.59,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,6,0,3,0,0,0,2,0,1,0,0,0,0,0,0,12,0,9,54,0,0,1,2,0,0,7,0,1,6,34,0,0,0,0,0
 24-34,0,0,1.64,0.82,3.28,0,0,24.63,0,0.82,0.82,1.64,0,0,0.82,0,0,0.82,0,0,18.88,0,9.85,221.63,0,9.03,1.64,0,0,0,0,0,1.64,1.64,81.26,0,0,1.64,0,1.64
 36-46,0,0,0,0,0,0,0,31.42,0,0,1.61,6.45,0,0,0,0,0,0,0.81,0.81,12.89,0,3.22,316.63,0,8.86,0,0,0,1.61,0,0.81,0,0,77.34,0,0,0,0,0
 48-58,0,0,1.15,0,1.15,0,0,82.05,0,0,2.3,16.07,0,0,0,0,0,0,0,1.72,16.07,0.57,2.87,351.17,0,6.89,2.3,0,0.57,0,0,0,0.57,0,61.4,0,0,0.57,0.57,1.15
 60-70,0,0,0,0,0.98,0,0,225.75,0.98,0,0,21.59,0.98,0,0.98,0.98,0,0.98,0,0.98,22.58,0,4.91,431.87,0,8.83,0.98,0,0,0,0,0,0,0,67.73,0,0,0,0,0
 72-82,0,0,2.94,0,1.96,0.98,0,298.43,0.98,0,3.93,30.43,1.96,0,1.96,2.94,0,0.98,0,0.98,63.81,2.94,5.89,499.67,0,11.78,3.93,0,0,0,0,0,0,0,41.23,0.98,0.98,3.93,1.96,2.94
 84-94,0,0,2.12,0,5.31,1.06,0,212.41,0,2.12,2.12,21.24,1.06,0,0,0,1.06,0,0,1.06,40.36,3.19,0,217.72,0,6.37,4.25,0,0,3.19,0,1.06,0,0,22.3,2.12,0,4.25,1.06,0
 96-106,0,0,0,0,10.93,2.19,0,197.81,0,1.09,3.28,38.25,6.56,1.09,3.28,2.19,1.09,1.09,2.19,1.09,34.97,3.28,10.93,185.78,0,13.11,7.65,0,1.09,2.19,0,1.09,0,0,13.11,2.19,2.19,2.19,5.46,2.19
108-118,0,0,0,0,9.19,0,0.77,146.3,0,0.77,3.06,19.92,2.3,0,0.77,1.53,0.77,1.53,1.53,0,42.13,0,3.83,285.7,0,6.13,6.89,0,0.77,0,0,0,0,0,13.79,2.3,0.77,3.83,1.53,0
120,0,0,0,0,15.68,1.96,0,78.39,0,1.96,1.96,13.72,3.92,0,0,0,0,0,0,0,25.48,1.96,3.92,243.01,0,7.84,1.96,0,0,0,0,0,1.96,0,1.96,3.92,0,1.96,1.96,0
