stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pgc,pronephros,spinal.cord,vasculature
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0
 24-34,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,56.64,1.64,0,0,0,15.6,0
 36-46,0.81,0,1.61,0,0.81,0,0,0,0,0,1.61,0,0,124.07,0.81,0,0.81,0,11.28,0
 48-58,0.57,0,0.57,0,4.59,0.57,0,1.15,0,0,0.57,0.57,0.57,148.62,0,0,0,0,8.61,0
 60-70,0.98,0,0,0,21.59,0,0,3.93,0,0,2.94,0,0.98,276.79,0,0,0,0,14.72,0
 72-82,0,0,2.94,0,45.16,0,0,11.78,0,0.98,5.89,0,0,469.23,0.98,0.98,0,0,20.61,0
 84-94,0,0,2.12,2.12,35.05,0,0,10.62,0,0,4.25,0,0,230.46,0,3.19,0,0,9.56,0
 96-106,0,0,1.09,1.09,40.44,0,1.09,15.3,0,0,2.19,0,0,216.38,1.09,3.28,0,0,4.37,0
108-118,0,0,0.77,0.77,33.7,0,0,13.79,0,0,2.3,0,0,249.7,0,1.53,0,0,5.36,0.77
120,0,0,1.96,0,39.2,0,1.96,13.72,1.96,0,5.88,0,0,258.69,0,3.92,0,0,5.88,0
