stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,6.29,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,2.46,0,2.46,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,3.22,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,0,0,0.57,0,4.59,0.57,3.44,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.93,0,10.8,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,2.94,0,28.47,0,0.98,0.98,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,2.12,0,2.12,0,40.36,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,3.28,1.09,3.28,1.09,56.83,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,4.6,0,4.6,0,40.6,0,0.77,0,0,0,0
120,0,0,0,0,3.92,0,0,0,5.88,0,9.8,0,43.12,0,0,0,0,0,0
