stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,6,7,0,0,0,0,0
 24-34,0,0,0,0,0,4.1,0.82,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,1.64,105.07,0,1.64,0,0,0.82,0,0,2.46,6.57,31.19,0,0,0,0,0
 36-46,0,0,0,0.81,0,8.86,4.03,0,0,1.61,0,0,0,0,0,0,0,2.42,0.81,0,0,3.22,269.09,0,4.83,0,0,0,0.81,0.81,0.81,1.61,62.84,0,0,0,0,0
 48-58,0,0,0,2.3,0.57,47.63,8.03,0,0.57,3.44,0,0,0,0,0,0,0,0,2.3,0,0,4.59,329.94,0.57,2.3,0,0.57,0.57,0,0,1.72,0,57.95,0,0,0.57,0,0
 60-70,0,0.98,0,0.98,0,200.23,4.91,0,0,6.87,0,0,0,0,0.98,0,0,0,4.91,0.98,0,0.98,521.19,0,0.98,0,0,0,0,0,5.89,0,64.78,0.98,0,0,0,0
 72-82,0,3.93,0,0,0.98,280.76,7.85,0.98,1.96,24.54,0.98,0,1.96,0,0,0,0.98,0.98,12.76,0,0,2.94,419.17,0,5.89,0.98,0,1.96,0,0,2.94,0,42.21,0,0,1.96,0,0
 84-94,0,4.25,0,3.19,1.06,159.31,5.31,0,0,24.43,1.06,0,0,1.06,0,1.06,0,0,4.25,0,1.06,4.25,198.6,0,0,0,0,5.31,0,0,3.19,0,19.12,1.06,0,3.19,0,1.06
 96-106,0,1.09,0,4.37,0,148.63,6.56,0,1.09,15.3,2.19,0,0,0,0,0,1.09,0,8.74,0,1.09,0,158.46,0,7.65,1.09,0,1.09,0,0,3.28,0,9.84,1.09,0,1.09,0,0
108-118,0,0.77,0,2.3,0.77,106.47,4.6,0,0.77,14.55,0,0,0,0,0,0,0,0,4.6,0,0,7.66,189.19,0,1.53,0,0.77,1.53,0,0.77,6.13,0,7.66,0,0.77,0,0.77,0
120,0,1.96,0,11.76,7.84,99.95,9.8,0,3.92,17.64,1.96,0,0,0,0,0,0,0,9.8,0,0,9.8,260.65,0,7.84,0,0,5.88,0,0,3.92,0,7.84,1.96,1.96,1.96,0,0
