stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,4,0,0,0,0,0
 24-34,0,1.64,0.82,0,0.82,0,0,0,0,0.82,0,0,0,1.64,3.28,0,1.64,18.88,0.82,0.82,1.64,0,0,0,6.57,0,0,0,0,1.64
 36-46,0,0.81,0,0,1.61,0,0,0.81,0,0,0,0,0,3.22,3.22,0,1.61,12.89,0,0,0,1.61,0,0,3.22,0,0,0,0,2.42
 48-58,0,0,0,0,5.16,0.57,0,1.72,0,0,0.57,0,0,0.57,2.87,0.57,0,20.66,0.57,0,1.15,1.15,0,0,3.44,0,0,0,0,0
 60-70,0,0.98,0,0,12.76,0,0,0.98,0,0,0,0,0,0.98,5.89,0,0,23.56,0,0,0,0,0,0,1.96,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,11.78,0,0.98,1.96,0,0,0,0.98,0,0,13.74,0,0,20.61,0,0,0.98,0,0,0.98,0.98,0,0,0.98,0,0
 84-94,0,0,3.19,0,7.43,0,0,1.06,0,1.06,0,0,0,1.06,7.43,0,1.06,3.19,0,0,2.12,1.06,0,0,1.06,1.06,0,1.06,1.06,1.06
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,1.09,0,0,4.37,0,1.09,9.84,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0
108-118,0.77,1.53,0.77,0.77,6.13,0,0,1.53,0.77,0,0,0.77,0.77,0.77,3.83,0,0,11.49,0,1.53,1.53,0.77,0,0,0,0,0,0,0.77,0
120,0,3.92,0,0,5.88,0,0,1.96,3.92,0,0,0,0,0,9.8,0,0,13.72,0,1.96,3.92,3.92,0,0,0,0,0,1.96,1.96,0
