stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,5,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,1,39,1,1,0,0,3,3,0,1,14,16,0,0,0,0,0
 24-34,0,0,0,0,0,60.74,0,0,0,13.95,0.82,0,0,0,0,0,0,0,0.82,0,0,0,55,0,0.82,0,0,0.82,0,0,0,0,16.42,0,0,0,0,0
 36-46,0,0,0.81,0,0,189.33,0,0,0,12.09,0,0,0,0,0,0,0,0,0.81,0,0,0,62.84,0,0,0.81,0,2.42,0,0,0,0,11.28,0,0,0.81,0,0
 48-58,0,0,1.15,0.57,0,472.82,0,0,0,15.49,0.57,0.57,0,0,0,0,0,0,1.15,0.57,0,0,47.05,0,0,0,0,1.15,0,0,0.57,0,7.46,0,0,2.87,0,0
 60-70,0.98,0,1.96,0,0,893.18,0,0,0,54.97,0,0,0,0,0.98,0,0,0,2.94,0,0.98,0,43.19,0,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0.98,0,0.98
 72-82,0,0,8.83,0,0,1183.88,1.96,0,0.98,97.18,0.98,0,0.98,0,0,0,0,0,11.78,0,0.98,0,74.61,0,0,0,0,0,0,0,0,0,2.94,1.96,0.98,6.87,1.96,0.98
 84-94,0,0,9.56,1.06,0,738.12,0,0,1.06,69.03,2.12,0,0,2.12,0,1.06,0,0,8.5,0,1.06,0,57.35,0,1.06,0,0,2.12,0,0,0,0,2.12,2.12,0,5.31,0,0
 96-106,0,0,9.84,5.46,0,611.99,0,2.19,0,54.64,2.19,0,1.09,0,1.09,1.09,0,0,7.65,2.19,1.09,1.09,42.62,1.09,1.09,1.09,0,8.74,0,0,0,0,4.37,6.56,1.09,2.19,0,0
108-118,0,0,3.83,2.3,0.77,447.32,0,0.77,0.77,33.7,3.06,0,0,0,0,0,0.77,0.77,5.36,0,0,0.77,36.77,0,0.77,0.77,0,1.53,0,0,0,0,0,8.43,0,3.06,0.77,0
120,0,0,11.76,0,0,384.12,0,1.96,0,19.6,0,0,0,0,0,0,0,0,3.92,0,1.96,1.96,39.2,0,0,0,0,0,0,0,0,0,0,5.88,0,3.92,0,0
