stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,1,2,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,2,0,0,0,20,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,8.21,0,0,0.82,2.46,2.46,20.52,0.82,0,0.82,0,0.82,0.82,2.46,13.95,0.82,0,5.75,121.49,0.82,4.93,2.46,0,0,14.78,0,0,0,45.15,0,0,2.46,0,2.46
 36-46,0,0,0.81,0,2.42,0.81,0,13.7,0,0,0,3.22,0,0,0,1.61,0,0.81,0.81,0,2.42,11.28,0.81,0.81,2.42,128.1,0,7.25,1.61,0,0,11.28,0.81,0,1.61,30.62,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,1.15,0,33.85,0.57,0,2.3,14.92,0,2.3,0.57,0.57,0.57,1.15,0.57,0,0,20.66,1.72,0.57,2.87,157.22,0,1.15,0,0,0.57,10.9,0,0,0,30.99,0,0,2.3,0,2.87
 60-70,0,0,0,0,1.96,0,0,66.74,0,0,2.94,19.63,1.96,1.96,0.98,0,0,0.98,0.98,0,0,25.52,2.94,1.96,0.98,265.01,0.98,3.93,0.98,0,0,8.83,0,0,2.94,33.37,0.98,0.98,1.96,0,1.96
 72-82,0,0,0.98,0,2.94,0,0,157.07,0,0,3.93,51.05,4.91,0.98,1.96,6.87,0.98,0.98,3.93,1.96,1.96,67.73,4.91,5.89,6.87,430.95,0.98,6.87,1.96,0,1.96,3.93,0,0,0,37.3,1.96,0,5.89,2.94,0.98
 84-94,0,0,1.06,0,6.37,1.06,2.12,105.14,0,2.12,2.12,20.18,6.37,2.12,1.06,8.5,3.19,2.12,0,1.06,5.31,31.86,7.43,2.12,3.19,177.36,0,1.06,7.43,0,0,29.74,0,0,4.25,10.62,1.06,0,4.25,2.12,1.06
 96-106,0,0,5.46,0,12.02,1.09,2.19,64.48,0,0,2.19,30.6,5.46,0,3.28,12.02,2.19,0,3.28,2.19,0,32.79,7.65,2.19,3.28,201.08,1.09,4.37,12.02,0,1.09,5.46,0,0,4.37,8.74,1.09,0,2.19,4.37,0
108-118,0,0,0.77,0,9.19,2.3,4.6,81.19,0,0.77,0.77,34.47,11.49,0.77,2.3,3.83,0.77,3.06,2.3,5.36,1.53,26.81,3.06,3.83,4.6,224.43,1.53,2.3,7.66,0,0,9.19,0,0,0.77,8.43,2.3,0.77,3.06,1.53,2.3
120,0,0,0,0,9.8,0,1.96,62.71,0,0,0,33.32,7.84,0,0,11.76,1.96,3.92,0,3.92,0,25.48,3.92,1.96,0,180.3,0,0,3.92,0,1.96,13.72,0,0,3.92,7.84,0,0,1.96,0,0
