stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,somites,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,3.15,0,3.15,0,0
 14-21,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,13.13,0,0,0,0.82,0.82
 36-46,0,0,0.81,6.45,0,1.61,0,0,0,22.56,0,0,0,0,4.03
 48-58,0,0,0,6.89,0,1.15,0.57,1.72,0,9.18,0,0,0,0,1.15
 60-70,0,0,0,8.83,0,1.96,0,2.94,0,9.82,0,0,0,0,0
 72-82,0,0,0,8.83,0,0,0,1.96,0,7.85,0,0,0,0,0
 84-94,0,0,0,4.25,0,1.06,0,1.06,0,11.68,0,0,0,0,1.06
 96-106,0,1.09,0,1.09,1.09,0,1.09,1.09,0,3.28,0,0,0,0,0
108-118,0,0,0,3.06,0,0.77,0,0.77,0,3.06,0,0.77,0,0,0.77
120,0,0,0,1.96,0,1.96,0,3.92,0,3.92,0,0,0,0,0
