stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,39,1,0,0,1,0,0,7,4,15,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,5.75,0,0.82,0.82,2.46,0,0,0,0,0,0,0,0,13.95,0,0,4.1,79.62,0.82,0.82,0,0,0,1.64,0,0,19.7,0,0,4.1,0,1.64
 36-46,0,0,0,0.81,0,16.92,0,0,0.81,2.42,0,0,0,0,0,0,0.81,0,12.09,0,0,1.61,123.27,0,0.81,0,0,0,2.42,0,0,26.59,0,0,1.61,0,0
 48-58,0,0,0,0,0,25.25,0,0,0.57,9.18,0,0,0.57,0,0.57,0,0,0,13.2,0,0,1.72,56.81,0,1.72,0.57,0,0,1.15,0,0,15.49,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,29.45,0.98,0,0,7.85,0,0,0,0,0,0,0,0.98,12.76,0,0,0.98,70.67,0,0.98,0.98,0,0,2.94,0,0,7.85,0.98,0,0,0,0
 72-82,0,0,0,0.98,0.98,24.54,0,0,0,8.83,0,0,0,0,0,0,0,0,20.61,0,0.98,0.98,45.16,0,0,0,0,0.98,0.98,0,0,4.91,0,1.96,0,0,0
 84-94,0,0,0,3.19,1.06,26.55,0,2.12,1.06,0,0,0,1.06,0,0,1.06,0,0,11.68,1.06,0,1.06,31.86,0,1.06,0,0,0,2.12,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,1.09,3.28,16.39,0,0,2.19,5.46,0,0,0,2.19,0,0,0,0,12.02,0,1.09,1.09,22.95,0,1.09,0,0,0,5.46,0,0,2.19,0,0,2.19,1.09,0
108-118,0,0,0,3.83,0.77,15.32,0,0,0,4.6,0,0,0,0,0,0,0.77,0.77,6.13,0,0,1.53,40.6,0,0,2.3,0,0,1.53,0,0,2.3,0,0.77,2.3,0,0
120,0,0,0,5.88,0,5.88,0,0,0,9.8,0,0,0,1.96,0,3.92,0,0,9.8,0,0,1.96,31.36,1.96,0,0,0,0,3.92,0,0,0,0,0,0,1.96,1.96
