stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
 24-34,0,0,0,1.64,0.82,0,0,0,0,0,0,0,1.64,0,13.13,0,0,0,0,0,0,0,0,0,2.46
 36-46,0,0,0,1.61,0,0,0.81,0.81,0,1.61,0,0,4.03,0,13.7,0,0,0,0,0,0,8.86,0,0,3.22
 48-58,0,0,0,1.72,0,0,0,0,0,9.18,0,0,10.33,0.57,5.74,0,0,0,0,0,0,1.15,0,0,1.72
 60-70,0,0,0,11.78,0,0,0,0,0,33.37,0,0,53,0,14.72,0,0,0,0,0,0,1.96,0,0,2.94
 72-82,0,1.96,1.96,30.43,0,8.83,2.94,0.98,0,39.27,0.98,0,141.36,13.74,25.52,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,25.49,0,6.37,3.19,1.06,0,89.21,0,0,127.44,10.62,16.99,0,0,0,1.06,0,0,2.12,0,0,4.25
 96-106,0,1.09,4.37,28.41,2.19,7.65,5.46,0,0,98.36,0,3.28,228.4,22.95,16.39,0,1.09,2.19,1.09,0,0,0,0,0,0
108-118,0,3.83,0.77,13.79,0.77,13.02,0.77,0,0.77,131.75,0,0.77,249.7,10.72,19.92,0,0,0,0.77,0,0.77,0.77,0,0,1.53
120,0,3.92,0,5.88,0,11.76,5.88,0,0,78.39,0,0,239.09,23.52,13.72,1.96,0,1.96,0,0,0,1.96,1.96,1.96,1.96
