stage,blastomeres,endoderm,epidermis,eye,glial,immune,ionocyte,lateral_line,melanocytes,mesenchyme,neural,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,9.44,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82
 48-58,0,0,0,0,0,0,0,0,0.57,0,3.44,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0.98,0.98,0
 72-82,0,0,0.98,0,0,0,0.98,0.98,0,0,0.98,0
 84-94,0,0,1.06,0,0,2.12,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,0,0,0,0,2.19,0
108-118,0,0,2.3,0.77,0.77,4.6,0,0,0,1.53,1.53,0
120,0,0,1.96,1.96,1.96,0,0,3.92,0,0,7.84,0
