stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,0,0,0,3,1,6,0,0,1,1,0,1,3,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,1.64,3.28,0,9.85,0,0,0,0,0.82,0,5.75,0,0.82
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,4.83,2.42,42.7,0,0,0,0,0,0,7.25,0,1.61
 48-58,0,0,0,0,3.44,0,0,0.57,0,0,0,1.15,5.16,1.15,20.66,0,0.57,0,0,0,0,4.59,0,1.72
 60-70,0,0,0,0,1.96,0,0.98,19.63,0,0.98,0,0.98,0.98,0,9.82,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,4.91,0,0,65.77,0,1.96,0,0,5.89,0,14.72,0,0,0,0,0.98,0,1.96,0.98,2.94
 84-94,0,0,1.06,2.12,8.5,0,0,42.48,0,8.5,0,2.12,8.5,1.06,9.56,0,0,0,0,0,0,0,0,3.19
 96-106,0,0,1.09,0,2.19,1.09,1.09,62.29,0,4.37,0,0,4.37,1.09,5.46,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,0.77,0,0,47.49,0,6.13,0.77,0,1.53,0,6.13,0,0,0,0,0.77,0,0,0,1.53
120,0,0,0,0,3.92,0,0,52.91,0,0,0,0,1.96,1.96,9.8,1.96,0,0,0,0,0,0,0,0
