stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,100,2,0,0,0,0,3,1,0,0,0,0,0,8,0,5,8,0,0,0,0,0,0,0,1,5,0,35,0
 24-34,0,0,0,0,10.67,1.64,0,0,0,0,8.21,0,0.82,0,0,0,0,27.91,0,8.21,16.42,0,0,0.82,0,0,1.64,0,1.64,4.93,0,181.41,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,4.03,0,0,0,0.81,0,0,14.5,0,3.22,20.14,0,0,0,0,0,0.81,0,0,4.03,0,128.91,0
 48-58,0,0,0,0,0,1.72,0,0.57,0.57,0,8.61,0,0,0,0,0,0,6.31,0,0.57,13.77,0,0,0,0,0,0,0,0,2.87,0,117.06,0
 60-70,0,0,0,0,0,3.93,0,0,0,0,9.82,0.98,0,0,0,0,0.98,3.93,0,0,14.72,0,0,0,0,1.96,0,0,0,0.98,0.98,85.39,0.98
 72-82,0,0,0,0,0.98,0.98,0,0,0,0.98,20.61,0,0,0,0,0,0,3.93,0.98,0,2.94,0,0,0,0,0.98,0,0,0,0,2.94,202.22,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,12.74,0,0,0,0,0,0,3.19,0,0,6.37,0,0,0,0,1.06,0,0,0,1.06,0,170.99,0
 96-106,0,0,0,0,3.28,6.56,0,0,0,1.09,21.86,3.28,0,0,0,1.09,1.09,4.37,0,0,9.84,0,1.09,0,0,2.19,1.09,1.09,0,1.09,0,230.59,0
108-118,0,0,0,0,0.77,1.53,0.77,0,0,0,6.89,0,0,0.77,0,0.77,0,2.3,0,0,5.36,0.77,0,0,0,0,0.77,1.53,0,0,2.3,163.15,0
120,0,0,0,0,0,5.88,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,125.43,0
