stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,12,17,0,0,0,0,0,0,0,2,0,0,0,0,20,0,8,0,0,1,68,0,2,125,0,0,2,0,2,31,0,0,0,0,0
 24-34,0,0,0.82,1.64,1.64,0,3.28,0,0,0,0,0,0,0,0.82,0,0,18.88,0,12.31,0,0,4.93,142.01,0.82,4.93,139.55,0,3.28,0,0.82,0,46.79,0,0,2.46,0,0.82
 36-46,0,0,0,0,1.61,0,11.28,0,0,3.22,0,0,0,0.81,0,0,2.42,6.45,0,21.75,0,0,4.83,157.91,0.81,6.45,93.46,0.81,1.61,0,0,0,48.34,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,14.92,0,0.57,4.59,0.57,0.57,0,0,0,0,4.59,1.15,0.57,25.25,0,0,4.02,111.32,0,5.74,68.86,0,1.72,0,0,0,24.67,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,25.52,0,0,4.91,0,0,0,0,0.98,0,8.83,0.98,0,17.67,0,0,0,84.41,0,9.82,53,0,1.96,0,0,0,10.8,0,0,0.98,0,0
 72-82,0,0,0.98,0,2.94,0.98,24.54,0,0,6.87,1.96,0,0,1.96,0,0,19.63,1.96,0,20.61,0,0,0.98,71.66,0,11.78,77.55,0,0.98,0,0,0,4.91,0,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,27.61,0,1.06,4.25,2.12,0,0,1.06,0,0,31.86,0,0,20.18,0,1.06,0,33.99,0,50.98,99.83,0,1.06,0,0,0,4.25,0,0,1.06,0,0
 96-106,0,0,0,0,10.93,0,18.58,2.19,0,0,1.09,0,1.09,0,0,0,51.36,0,0,9.84,2.19,1.09,0,44.81,0,96.17,99.45,0,1.09,0,0,0,0,1.09,0,2.19,1.09,0
108-118,0,0,0,0,3.06,0.77,11.49,0.77,0,3.06,2.3,0,0,0.77,0.77,0,36,0,0,8.43,0,0,0,52.85,0,58.98,97.28,0,3.06,0,0,0,2.3,1.53,0,0,0.77,0
120,1.96,0,0,0,7.84,0,5.88,1.96,0,5.88,11.76,0,0,0,1.96,1.96,35.28,0,0,9.8,0,3.92,0,31.36,0,35.28,72.51,0,0,0,0,0,3.92,0,1.96,1.96,0,0
