stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,3,0,0,0,0,1,2,0,2,0,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0.82,0.82,0,0,2.46,3.28,0,0,2.46,0,2.46,0.82,0,0,135.44,9.03,6.57,0,0.82,0,0,0.82,0,29.55,0,0,3.28,0,0
 36-46,0,0,0,0,4.83,0,0,0,4.03,0,0,0.81,4.03,1.61,0,0,3.22,0,2.42,0,0.81,0,362.55,8.86,8.06,0,0,0,0,0,0,29.81,0,0,3.22,0,0
 48-58,0,0,1.72,0,63.12,0,0,1.15,7.46,0,0,0,3.44,1.15,1.72,0,2.3,0.57,10.33,0.57,0,2.3,426.91,5.74,2.3,0,0,0,0,0,0,30.41,0,0,4.59,0,0
 60-70,0,0,1.96,0,393.59,0.98,0,0,6.87,0.98,0,0,6.87,1.96,0.98,0,0.98,0,23.56,0,0,0,888.28,8.83,2.94,0.98,0,0,0,0,1.96,37.3,0,0.98,0.98,0,0.98
 72-82,0,0,17.67,0.98,911.96,0,0,3.93,60.86,0,0.98,0,17.67,5.89,1.96,0,2.94,1.96,63.81,0,0.98,2.94,1193.7,5.89,0.98,0.98,4.91,0,0,0.98,0.98,31.41,0,1.96,5.89,0.98,1.96
 84-94,0,0,12.74,2.12,560.76,1.06,0,2.12,44.61,3.19,1.06,1.06,19.12,0,7.43,0,2.12,0,47.79,0,3.19,3.19,611.73,12.74,4.25,0,5.31,0,0,2.12,5.31,16.99,1.06,0,3.19,0,1.06
 96-106,1.09,0,19.67,2.19,617.46,1.09,1.09,0,29.51,2.19,1.09,0,28.41,2.19,1.09,0,3.28,0,42.62,1.09,0,4.37,522.38,13.11,3.28,4.37,5.46,0,0,1.09,3.28,17.49,1.09,0,4.37,0,0
108-118,0,0,26.04,0,364.6,0,1.53,0,21.45,2.3,0,1.53,22.98,3.06,7.66,0,3.83,0,25.28,0,0.77,1.53,631.15,14.55,2.3,1.53,2.3,0.77,0,2.3,2.3,9.19,0.77,0.77,1.53,2.3,0
120,0,0,15.68,1.96,288.09,1.96,0,1.96,17.64,0,0,0,29.4,3.92,1.96,3.92,0,0,29.4,0,0,3.92,715.32,47.03,0,1.96,3.92,0,0,1.96,0,11.76,0,0,1.96,0,0
