stage,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,iridophores,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,slow.muscle,spinal.cord
 14-21,0,0,0,0,1,0,0,0,0,4,0,1,0,1
 24-34,0,0.82,0,0,0,0,0,0.82,0.82,4.93,1.64,0,0,2.46
 36-46,0.81,0,0,0,0,0,0,0,0,4.03,0.81,0,0,4.03
 48-58,0,0,0,1.15,0,0,0,0,0,4.59,0,0,0,0.57
 60-70,0,0.98,0,0,0.98,0,1.96,0,0,5.89,0.98,0,0,0
 72-82,0,0.98,0,3.93,0,0,0,0,0,8.83,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,2.12,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,1.09,0,6.56,1.09,0,0,0
108-118,0,0.77,0,0,0,0,0,0.77,0,3.83,0.77,0,0.77,0
120,0,0,0,0,0,3.92,0,0,0,9.8,0,0,0,0
