stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
 14-21,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,8,1,0,2,0,2,1,0,4,5,0,0
 24-34,0,2.46,5.75,0,0,4.1,0,0,4.93,0,0,0,0,1.64,0,1.64,0,0.82,2.46,27.09,1.64,0,4.93,0,6.57,0.82,0,0.82,18.06,0,9.85
 36-46,0,0,3.22,0,0,1.61,0,0,8.06,0,0,0,0,0,0,3.22,0,1.61,2.42,25.78,1.61,2.42,1.61,0,6.45,0,0,0,28.2,0,7.25
 48-58,0,0,1.15,0,0,4.02,0,0.57,17.79,0.57,0.57,0,0,0.57,0.57,3.44,0,0,0.57,6.89,0.57,0,0.57,0,1.72,0,0.57,0,15.49,0,6.31
 60-70,0,0,4.91,0,0,5.89,0,0,28.46,0.98,3.93,0.98,0,0,0.98,13.74,0,0,0.98,9.82,0.98,0,1.96,0,1.96,0,0,0,13.74,0,3.93
 72-82,1.96,0,2.94,0,0,2.94,0,0,36.32,0.98,0.98,0.98,0,0.98,0.98,19.63,0.98,0.98,0.98,6.87,0.98,0,2.94,0,0.98,0,0,0,3.93,0,15.71
 84-94,0,0,5.31,1.06,0,6.37,3.19,0,15.93,4.25,0,6.37,0,1.06,1.06,15.93,1.06,1.06,0,4.25,1.06,0,2.12,0,7.43,2.12,0,0,2.12,0,5.31
 96-106,2.19,0,6.56,0,0,1.09,0,1.09,10.93,3.28,1.09,4.37,1.09,2.19,0,9.84,0,0,1.09,5.46,1.09,1.09,4.37,0,9.84,0,0,0,3.28,1.09,13.11
108-118,0.77,0,6.89,0,0.77,1.53,3.83,0,6.89,2.3,0,3.83,0,0.77,0,9.96,0,0,0.77,9.19,0.77,0,6.13,0.77,3.06,0.77,0,0,1.53,0,6.89
120,0,1.96,5.88,0,0,1.96,0,0,5.88,1.96,0,0,0,0,0,13.72,0,0,1.96,1.96,5.88,0,3.92,0,1.96,1.96,0,0,5.88,1.96,9.8
