stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,11,0,3,0,7,0,3,0,5,1,0,0,0,0,0,0,15,0,0,4,42,0,0,1,0,0,2,33,0,46,0,0,0,0,0
 24-34,0,5.75,0.82,5.75,0,9.03,0,23.8,0.82,0,5.75,0,0,0,0,0,0,51.71,0,1.64,19.7,213.42,0,0.82,0,1.64,0.82,0,12.31,0.82,64.03,0,0,0.82,0,1.64
 36-46,0,3.22,1.61,1.61,0,2.42,0,33.03,1.61,0,1.61,0,0,0.81,0,0,0,25.78,0.81,8.86,7.25,312.6,0,0.81,0.81,0.81,0.81,0,9.67,0,50.76,0,0.81,0,0,0
 48-58,0.57,1.15,0,10.9,0.57,1.72,2.87,32.71,0.57,0,2.3,0.57,0,0.57,0,0,0.57,31.56,0,16.07,5.16,262.23,0,0.57,0,0.57,1.15,0,2.3,0,50.49,0,0.57,0,0.57,0
 60-70,0,0.98,0,38.28,0.98,1.96,0.98,56.93,0.98,0,0,0,0.98,0,0,0.98,0,27.48,0,21.59,1.96,400.46,0,1.96,0,0,0,0,2.94,0,46.13,0,2.94,0,2.94,0.98
 72-82,0,1.96,0.98,63.81,0,2.94,1.96,77.55,1.96,0,0,0.98,0,0,0,0,0,46.14,0,32.39,0.98,415.24,0,3.93,0,1.96,0,0.98,0,0,35.34,0,13.74,1.96,21.6,0
 84-94,0,7.43,1.06,56.29,0,1.06,1.06,75.4,2.12,0,1.06,0,0,1.06,1.06,0,0,20.18,0,42.48,4.25,165.68,0,1.06,0,2.12,0,0,2.12,0,21.24,1.06,13.81,0,14.87,1.06
 96-106,0,1.09,0,33.88,2.19,7.65,1.09,56.83,1.09,0,0,1.09,1.09,2.19,0,0,0,27.32,0,25.14,0,189.06,1.09,4.37,0,3.28,0,0,1.09,0,25.14,0,5.46,1.09,33.88,0
108-118,0,4.6,0,23.74,0,6.13,3.83,47.49,0.77,0,0,0,0.77,2.3,0,0.77,0,29.11,1.53,16.09,2.3,211.41,0,0.77,0,2.3,0,1.53,1.53,0,9.96,0.77,0.77,1.53,20.68,0.77
120,0,1.96,0,25.48,1.96,7.84,3.92,27.44,0,0,0,3.92,0,1.96,0,0,0,19.6,0,17.64,1.96,195.98,0,3.92,1.96,9.8,0,1.96,0,0,7.84,0,0,0,19.6,1.96
