stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,3,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4,0,0,0,0,0,0,0.82,0,9.85,0,4.1,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0,2.42,0,0,88.62,0,0,0,0,0,0,0,0,25.78,0,5.64,0,0
 48-58,0,0,0,0,8.61,0,0,0.57,0.57,0,0.57,0,0,0,0,0.57,0,0,105.58,0.57,0.57,0,0,0,1.15,0,0,19.51,0,4.02,0,0.57
 60-70,0,0,0,0,17.67,0,0,0,2.94,0,0,0,0,0,0,4.91,0.98,0,307.22,0,0,0,0,0,2.94,0.98,0,32.39,0,5.89,0,0.98
 72-82,0,0,1.96,0,35.34,0.98,0,0,5.89,0,0,0,0,0,0,3.93,0,0,445.67,0,0,1.96,0,0,0,0,0,31.41,0,0.98,0,0
 84-94,0,0,2.12,0,31.86,0,2.12,0,5.31,0,0,0,2.12,0,0,6.37,0,0,218.78,0,0,3.19,0,0,2.12,0,0,21.24,0,2.12,0,1.06
 96-106,0,0,0,2.19,30.6,1.09,0,0,6.56,1.09,1.09,0,1.09,1.09,1.09,5.46,0,1.09,209.83,0,0,0,0,1.09,2.19,0,0,10.93,1.09,8.74,0,0
108-118,0,0.77,2.3,0.77,22.98,0,0.77,2.3,5.36,0,0,0.77,0,0,1.53,2.3,0,1.53,241.28,0,0,0,0,0,0,0,0,8.43,0.77,6.89,0.77,0.77
120,0,0,3.92,0,21.56,0,0,0,7.84,0,3.92,0,0,0,1.96,7.84,0,1.96,360.6,0,0,0,0,0,0,0,0,19.6,0,13.72,0,0
