stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,4,56,55,5,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,44.33,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,17.24,22.16,2.46,0,0.82,0,0.82,0.82,24.63,57.46,4.1,0,2.46,0,0
 36-46,0,0,0,0,0,0,5.64,94.26,0,0.81,1.61,0,0.81,0,0,0,0.81,0,0,1.61,0,0,8.06,18.53,0.81,1.61,0,0,0,0,8.86,7.25,4.03,0,0.81,0,0
 48-58,0.57,0,0,0,0,0,10.9,96.97,0.57,0,2.87,0,0,0,0,0,1.72,0.57,0.57,15.49,0,0,24.1,38.44,1.72,0,1.15,0,2.3,0,8.03,0,10.33,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,12.76,85.39,0,0.98,1.96,0,0,0,0,0,1.96,0,0,26.5,0,0,21.59,18.65,0.98,0.98,2.94,0,0.98,0,11.78,0,2.94,1.96,0,0,0.98
 72-82,0,0,0,0,0,0,15.71,75.59,0,1.96,3.93,0,0.98,0.98,0,4.91,2.94,0,0,41.23,0,1.96,12.76,13.74,0.98,0,8.83,0,1.96,0,3.93,0,0.98,1.96,0.98,0,0.98
 84-94,0,0,0,1.06,2.12,0,11.68,132.75,0,2.12,4.25,0,0,2.12,0,6.37,3.19,0,1.06,31.86,0,2.12,13.81,5.31,1.06,0,10.62,0,1.06,0,6.37,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,2.19,2.19,13.11,149.72,0,1.09,6.56,0,0,1.09,1.09,6.56,1.09,2.19,0,22.95,0,0,10.93,25.14,0,2.19,10.93,0,7.65,0,3.28,0,1.09,2.19,1.09,0,0
108-118,0,0,0.77,0,0.77,0.77,12.26,121.02,0.77,0.77,3.06,1.53,0.77,0,0,6.13,0,0.77,0,29.11,0.77,1.53,25.28,17.62,0.77,0.77,19.92,0,0.77,0,2.3,0,0,1.53,1.53,0,0.77
120,0,0,0,0,0,0,7.84,60.75,1.96,1.96,0,0,0,1.96,0,1.96,0,0,0,21.56,0,0,13.72,7.84,0,0,1.96,0,1.96,0,3.92,0,0,1.96,0,1.96,0
