stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,18.39,0,0,0,18.39,0,0,0,0
  7-9,10.51,2.63,2.63,0,0,0,0,0,2.63,0,10.51,2.63,0,34.17,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0
 14-21,0,0,0,3,2,0,0,0,0,1,3,2,0,0,0,54,0,20,4
 24-34,0,0,0,0,0.82,0.82,0,0.82,0,0.82,3.28,0,0.82,0,0.82,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,2.42,3.22,0,0.81,0,0.81,0,0,0,1.61
 48-58,0,0,0,0,0,1.15,0,0.57,0,0.57,2.3,0,0,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,2.3,0,0.77,0,0.77,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
