stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,32,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,10.67,0,0,0,0.82,0,1.64,0,0.82,0.82,0,0,0,0.82,4.1,0.82,0,0.82,73.06,0,3.28,0,0,0,0,0,0,0,0,20.52,0,0,0,0,0
 36-46,0,0,0,0,0,0,19.34,0,0.81,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,0,0,103.13,0,1.61,0,0,0,2.42,0.81,0,0,0,8.86,0,0,0,0,0
 48-58,0,0,0,0,0,0,43.61,0,0.57,0,2.87,0,0.57,0,0,0,0,0.57,0,0.57,4.02,0,0,0.57,129.68,0,1.72,0,0,0,0.57,0,0,0,0,18.94,0,0,1.15,0,0.57
 60-70,0,0,0,2.94,1.96,0,263.05,0,1.96,0,19.63,0,0,0,0.98,0,0,0,0,1.96,30.43,0,0.98,2.94,284.64,0,0.98,1.96,0,0.98,1.96,0,0,0,0,25.52,0,0,3.93,0,0.98
 72-82,0,0.98,0,4.91,31.41,0,646.92,0,1.96,2.94,98.17,5.89,0.98,2.94,1.96,0,1.96,3.93,0,0.98,99.15,0.98,3.93,6.87,457.45,0,2.94,3.93,0,0.98,3.93,0,0,0,0,30.43,4.91,0,14.72,3.93,5.89
 84-94,0,1.06,0,14.87,20.18,0,418.44,0,5.31,2.12,81.78,1.06,0,1.06,2.12,1.06,3.19,2.12,0,6.37,79.65,3.19,4.25,11.68,299.49,0,2.12,3.19,0,3.19,20.18,0,0,0,0,22.3,7.43,1.06,8.5,6.37,3.19
 96-106,0,1.09,0,51.36,37.16,1.09,530.03,1.09,7.65,2.19,131.14,4.37,0,3.28,4.37,4.37,2.19,8.74,4.37,3.28,147.53,0,13.11,15.3,360.64,2.19,13.11,15.3,0,8.74,54.64,0,1.09,1.09,0,29.51,12.02,3.28,21.86,5.46,13.11
108-118,0,3.06,0,72,18.38,5.36,499.41,0.77,25.28,5.36,123.32,10.72,0,3.06,3.83,3.06,10.72,3.83,5.36,3.83,165.45,3.83,12.26,17.62,402.13,5.36,6.89,15.32,0,6.89,36,0,0.77,2.3,0,16.85,19.15,1.53,22.21,7.66,9.96
120,0,1.96,0,127.39,39.2,0,491.91,3.92,17.64,1.96,133.27,13.72,0,1.96,21.56,3.92,15.68,11.76,3.92,1.96,207.74,3.92,7.84,25.48,554.62,7.84,7.84,25.48,0,7.84,78.39,0,1.96,1.96,0,23.52,13.72,1.96,33.32,11.76,1.96
