stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,28.32,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,407,1,0,14,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,10,0,0,0,1,0,5,1,1,0,1,7,0,0,0,0,0
 24-34,0,0,0,0,271.7,0,0,3.28,0,22.98,0,4.93,0,0,0,0,0,0,9.03,0.82,0,8.21,1.64,0,6.57,71.41,0,3.28,16.42,0,0,144.47,0,0.82,0,0,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,51.56,0,0,9.67,0,14.5,0,15.31,0,0,0,0.81,0,0,13.7,0,0,24.17,0.81,0.81,3.22,140.19,0,2.42,13.7,0,0,118.43,0,0,0,0,23.36,0,0,0,0,0
 48-58,0,0,0,0,25.25,0,0,148.62,0,18.94,0.57,15.49,0,0,0,0,0,0,12.62,0,0,45.9,2.87,1.72,4.59,191.65,0.57,1.15,15.49,0,0,103.28,0,0,0,0,31.56,0,0,0.57,0,0.57
 60-70,0,0,0,0,29.45,0,0,536.89,0,30.43,2.94,32.39,0,0,0,0,1.96,0.98,16.69,0,0,60.85,1.96,10.8,4.91,278.75,0,4.91,17.67,0,0,121.71,0,0,0,0,30.43,0,1.96,0.98,5.89,0
 72-82,0,0,0.98,0,34.36,0,0,770.6,0,31.41,10.8,54.97,0,0,0,0,0.98,0.98,29.45,1.96,1.96,131.54,8.83,14.72,11.78,389.72,0,0.98,23.56,0,0,88.35,0,0,0.98,0,19.63,1.96,12.76,4.91,34.36,2.94
 84-94,0,0,0,0,61.6,0,0,347.29,0,52.04,5.31,35.05,3.19,0,0,0,2.12,2.12,12.74,0,2.12,75.4,9.56,15.93,6.37,259.14,0,3.19,16.99,0,0,236.83,0,0,0,0,11.68,4.25,8.5,2.12,37.17,1.06
 96-106,0,0,1.09,0,61.2,0,0,174.86,1.09,48.09,2.19,19.67,4.37,0,1.09,2.19,6.56,3.28,25.14,4.37,4.37,80.87,15.3,3.28,6.56,181.41,0,7.65,27.32,0,1.09,255.73,0,0,0,0,10.93,9.84,6.56,2.19,39.34,1.09
108-118,0,0,0.77,0,75.06,0,1.53,134.81,0,65.11,0.77,20.68,9.19,0,0.77,0,9.19,6.89,21.45,0,9.19,64.34,11.49,5.36,6.89,181.53,0,4.6,29.87,0,0.77,180,0,0.77,0,0,2.3,26.81,13.02,0,19.15,0
120,0,0,0,0,137.18,0,0,137.18,0,86.23,3.92,25.48,3.92,0,0,1.96,3.92,1.96,17.64,0,3.92,60.75,17.64,3.92,7.84,211.66,0,3.92,27.44,0,0,250.85,0,0,0,0,11.76,17.64,5.88,0,31.36,0
