stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,22.98,0,6.57,0.82,0,0,0,6.57,0,0,0.82,0.82,0,0,1.64,0,0,0,2.46
 36-46,0,0,0,0,0,8.86,0,0,0,0.81,0,0,0,0,45.12,0,1.61,0,0,0,0,16.92,0,0,0,0.81,0,0.81,2.42,0,0,0,1.61
 48-58,0,0,1.15,0,0,30.99,0,0,0.57,1.72,0,0,0,0,70,0,1.15,3.44,0,0,0,49.35,0.57,0,0.57,1.72,0,1.15,4.02,0,0,0,1.72
 60-70,0,0,1.96,0,0,110.91,0,0.98,0,4.91,0,0,0,0,99.13,0,0,0.98,0,0,0,139.38,0,0,0,0.98,0,0,1.96,0,0,0,0
 72-82,0,0,0.98,0.98,0,202.22,0.98,0,0,19.63,0,0,0,0,104.06,0,0.98,15.71,0.98,0,1.96,168.85,0,0,0.98,2.94,0,0.98,1.96,1.96,0.98,0.98,1.96
 84-94,0,0,6.37,2.12,0,89.21,0,0,0,11.68,0,0,1.06,1.06,154,0,1.06,5.31,0,1.06,1.06,92.4,0,0,0,1.06,0,0,2.12,0,0,1.06,1.06
 96-106,0,1.09,3.28,0,1.09,85.24,1.09,1.09,0,17.49,0,0,0,0,148.63,1.09,0,9.84,0,0,0,66.66,1.09,1.09,0,2.19,2.19,0,0,0,0,0,1.09
108-118,0,0,0.77,1.53,0.77,61.28,0,0,0,14.55,0,0,0,0,209.11,0.77,0,6.89,0,0,0.77,70.47,0,0,0,1.53,0,0,0,0,0.77,0,2.3
120,0,0,0,0,0,47.03,0,0,0,3.92,0,0,0,0,141.1,0,0,0,0,0,0,62.71,0,0,0,0,0,0,1.96,0,0,0,1.96
