stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1067.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1287.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,21.03,0,26.29,0,2.63,0,47.32,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,517.86,28.92,0,0,197.15,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,0,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,333.58,18.88,0,0,110.14,0,0,0,3.15,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,20,3,0,15,0,0,0,2,1,1,0,0,0,0,0,0,14,0,0,7,141,6,2,2,3,0,3,0,15,0,20,58,0,0,0,0,0
 24-34,0,0,0,0.82,9.85,0,0,27.09,0,0.82,0.82,7.39,0,0,0,0,1.64,0,2.46,0.82,22.16,0,0,10.67,233.94,1.64,0.82,3.28,0,0,1.64,0,0,0,3.28,62.39,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,0.81,0,45.92,1.61,0,0.81,12.89,0,0,0.81,0,0,0.81,0,1.61,22.56,0,0,7.25,233.64,0.81,0.81,2.42,0,0,2.42,0,0,0,0,47.53,0,0,1.61,0,0
 48-58,0.57,0,0,0,1.15,0.57,0,70,0,0,1.72,9.75,0,0,0.57,0,0.57,0.57,0,0,28.69,0,0.57,8.03,162.39,0.57,2.3,1.15,0,0,3.44,0,0,0,0,34.43,0,0,2.87,0,0.57
 60-70,0,0,0,0,4.91,0.98,0,75.58,0,0,0.98,9.82,0,0,0,0.98,0.98,0,1.96,0,20.61,0,0,0.98,121.71,0.98,0.98,3.93,0,0,6.87,0,0,0.98,0,28.46,0,0.98,1.96,0.98,0
 72-82,0,0,0,0.98,1.96,4.91,0,63.81,0,0.98,0.98,14.72,0,0,0,1.96,0.98,0,2.94,0.98,47.12,0,0,2.94,106.02,0,2.94,2.94,0,0,13.74,0,0,0.98,0,7.85,0,2.94,6.87,0.98,0
 84-94,0,0,1.06,0,8.5,3.19,0,41.42,0,2.12,1.06,18.05,0,0,0,1.06,2.12,0,2.12,0,24.43,0,2.12,4.25,47.79,1.06,1.06,1.06,0,0,16.99,0,0,0,0,8.5,0,0,5.31,2.12,0
 96-106,0,0,0,0,7.65,1.09,2.19,22.95,0,0,4.37,13.11,2.19,0,0,2.19,2.19,2.19,2.19,1.09,25.14,1.09,3.28,2.19,46.99,0,1.09,2.19,0,0,18.58,0,0,0,0,6.56,0,0,2.19,0,1.09
108-118,0,0,0,0,5.36,1.53,0,23.74,0,2.3,0.77,7.66,1.53,0,0,7.66,0.77,0.77,0.77,0.77,23.74,0,1.53,1.53,70.47,0,5.36,1.53,0,0.77,9.19,0,0,0,0,1.53,0.77,0.77,3.06,1.53,1.53
120,0,0,0,0,15.68,5.88,0,15.68,1.96,0,1.96,9.8,5.88,0,0,1.96,1.96,3.92,1.96,0,13.72,1.96,0,1.96,50.95,0,0,0,0,0,5.88,0,0,0,0,0,0,1.96,5.88,0,0
