stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,13.14,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,163,23,1,0,10,0,0,1,0,7,0,9,240,3,0,0,0,0,0
 24-34,0,0,0,0,13.95,0.82,0,8.21,5.75,0,1.64,0.82,0.82,0,0.82,0.82,0,3.28,0,0,178.13,0,0,440.8,91.94,0,1.64,18.88,0,0,4.1,0,0,0,12.31,77.98,9.03,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,7.25,7.25,0,1.61,0.81,0,0.81,0,0.81,0.81,1.61,0,0.81,333.55,0,0.81,282.79,73.32,0,0.81,7.25,0,0,0,0,0.81,0,3.22,1.61,12.09,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,16.07,5.74,0,2.87,2.87,0.57,4.59,0,0,0,0.57,0,0.57,347.73,0,0,202.55,63.12,0,0,0,0,0,1.72,0,0,0.57,0,0.57,2.87,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0,18.65,0,0,1.96,3.93,0,2.94,0,0.98,0,0,0.98,0,439.72,0.98,1.96,153.12,39.26,0,0,0.98,0,0.98,0.98,0,0,0,0.98,0,2.94,0,5.89,0,0.98,0.98
 72-82,0,0,0.98,0,1.96,2.94,0,41.23,0,0,4.91,4.91,0,2.94,0,0,0.98,0.98,0,0,658.7,0.98,0.98,229.71,83.44,0,0.98,0,0,0.98,0,0,0,0,0,0,5.89,3.93,9.82,4.91,12.76,0
 84-94,0,0,0,1.06,11.68,1.06,0,66.91,1.06,1.06,3.19,2.12,0,3.19,4.25,0,0,0,1.06,0,469.42,0,1.06,170.99,33.99,0,1.06,3.19,0,1.06,1.06,0,0,1.06,0,0,3.19,1.06,7.43,1.06,10.62,0
 96-106,0,0,0,0,7.65,4.37,2.19,41.53,0,2.19,3.28,12.02,0,6.56,1.09,0,0,0,1.09,0,489.6,2.19,1.09,157.37,67.76,0,1.09,1.09,0,2.19,2.19,0,0,1.09,0,0,1.09,1.09,6.56,3.28,19.67,1.09
108-118,0,0,0,0.77,6.13,0,0,14.55,0.77,0,4.6,5.36,0,1.53,0.77,0,0.77,0.77,2.3,0,520.09,0,1.53,163.15,45.96,0.77,0.77,0,0,0.77,3.83,0,0,1.53,0,0,0.77,3.06,3.06,2.3,9.19,0
120,0,0,0,0,7.84,1.96,0,15.68,1.96,0,7.84,1.96,0,3.92,5.88,0,0,0,0,0,366.48,0,0,145.02,48.99,0,0,0,0,0,5.88,0,0,0,0,0,0,0,1.96,1.96,15.68,0
