stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,4,0,0,1,0,0,0,2,0,7,7,0,0,1,0,0
 24-34,0,0,33.66,0,0,1.64,0,0.82,13.95,0.82,0,0,2.46,0,0,0,0,0,0,50.07,0,0,25.45,10.67,0.82,0,0,0,0,0.82,0,0,0,3.28,0,0,16.42,0,0
 36-46,0,0,17.72,0,0,2.42,0,2.42,41.89,0,0,1.61,4.83,0,0,0,0,0,0,70.9,0,0.81,24.98,5.64,0,0,0,0,0,1.61,0,0,0,0,1.61,1.61,4.83,0,0
 48-58,0,0,21.8,0,0,2.87,0,5.16,58.53,1.15,0,5.74,2.87,0,0,0,0,0,0.57,98.12,0.57,0.57,11.48,16.07,0,0,0,0,0.57,0.57,0,0.57,0,0,2.87,3.44,8.03,0,0.57
 60-70,0,0,39.26,0.98,0,7.85,0,4.91,68.71,0,0,3.93,3.93,0.98,0.98,0,0,0,0,122.69,0,2.94,7.85,10.8,0,0,0,0,0,0.98,0,0.98,0,0,0,14.72,0.98,0,0
 72-82,0,0,45.16,5.89,0,14.72,0.98,2.94,97.18,1.96,0.98,6.87,7.85,0,1.96,0,0,0,0,199.28,0.98,12.76,13.74,13.74,0,0,0,0,1.96,0,0,0.98,0,0,0,27.49,8.83,12.76,0
 84-94,0,0,83.9,4.25,0,18.05,1.06,8.5,73.28,4.25,0,8.5,2.12,0,3.19,1.06,0,1.06,0,107.27,0,10.62,6.37,6.37,1.06,0,0,0,0,0,0,1.06,0,0,1.06,27.61,4.25,18.05,0
 96-106,0,0,41.53,8.74,0,13.11,1.09,2.19,63.39,3.28,1.09,1.09,6.56,2.19,1.09,0,0,1.09,1.09,140.98,0,17.49,4.37,18.58,1.09,1.09,0,0,4.37,0,0,1.09,0,0,0,39.34,2.19,20.76,1.09
108-118,0,0,65.11,3.06,0.77,9.19,0,8.43,44.43,1.53,0,0,2.3,0.77,3.83,0.77,0,0.77,0,96.51,0.77,13.79,2.3,10.72,0,0,0,0,3.83,3.06,0,0.77,0,0,0.77,35.23,3.06,10.72,0
120,0,0,68.59,5.88,0,3.92,0,5.88,45.08,1.96,0,0,1.96,0,7.84,0,1.96,0,0,84.27,1.96,7.84,7.84,11.76,0,0,0,0,0,1.96,0,1.96,0,0,0,29.4,1.96,13.72,0
