stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,2,5,3,10,0,0,7,1,1,1,0,0,0,0,0,11,0,0,9,85,0,1,1,1,4,9,1,9,33,0,0,0
 24-34,0,6.57,1.64,48.43,0,0,2.46,0,0,0,0.82,0,0,0,0,13.13,0,0,6.57,284.84,0,1.64,2.46,0,1.64,0,0.82,0,50.07,0,0,4.1
 36-46,0,4.03,3.22,62.04,0.81,0,1.61,0,0.81,0,0,0,0,0,0,16.11,0,0,3.22,231.23,0.81,0,0,0,1.61,0,0,0,39.48,0,0,0.81
 48-58,0,2.87,1.15,80.33,0,0,12.05,0.57,0,0,0,1.15,0,0.57,0,15.49,0.57,1.72,5.16,214.6,0,0.57,0.57,0,0.57,0,0.57,0,37.87,0,0,0.57
 60-70,0,10.8,0,68.71,0.98,0.98,3.93,1.96,0,0,0,0,0,0.98,0.98,19.63,0,2.94,3.93,132.51,0,0,0,0,1.96,0,0,0,16.69,0,0.98,0.98
 72-82,0,5.89,0,34.36,0,0,15.71,0.98,0,2.94,0,0.98,0,0.98,0,21.6,0,1.96,2.94,63.81,0,0,1.96,0,0,0,0,0,3.93,0,0,0.98
 84-94,0,3.19,0,22.3,1.06,1.06,13.81,0,0,0,0,0,0,0,1.06,8.5,0,2.12,4.25,43.54,2.12,0,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,19.67,0,0,15.3,0,0,0,0,0,0,0,0,4.37,0,0,0,33.88,0,1.09,0,0,0,0,0,0,1.09,0,0,1.09
108-118,0,3.06,0.77,23.74,0,0,9.96,0,0,0,1.53,0,0,0.77,0,3.06,0,0,2.3,32.94,0,0,0.77,0,1.53,0,0,0,1.53,0,0,1.53
120,0,1.96,0,25.48,0,0,21.56,0,0,0,0,0,1.96,0,0,9.8,0,0,3.92,54.87,0,0,0,0,0,0,0,0,0,0,0,0
