stage,eye,glial,immune,iridophores,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,2.63,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,1.64,0
 36-46,0.81,0,0,0,0.81,4.83,0.81,0,0,0,0,0
 48-58,0.57,1.72,0,0,0,5.16,0,0,0,0,1.72,0.57
 60-70,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 72-82,0,1.96,0,0,0.98,2.94,0,0,0,0,0.98,0
 84-94,2.12,2.12,0,1.06,1.06,2.12,0,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0.77,0,0,0,0
