stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,3.28,0,0,0.82,0,0,0.82,0,0,0,0,0,0,3.28,0,0,0,41.04,0.82,0,0,0,0,3.28,0,0,0,0,0,11.49,0,0,2.46,0,0.82
 36-46,0,0,0,0,0,13.7,0,0,4.83,0,0,0,0,0,0,0.81,0,0,2.42,0,0,1.61,87.01,0,0.81,0,0,0,0.81,0,0,0.81,0,0,15.31,0,0,0,0,0
 48-58,0,0,1.15,0,0,35,0,0.57,8.61,0,0,0,0,0,0,0.57,0,0.57,6.31,0,0,1.15,88.37,0.57,0,1.15,0,0,0.57,0,0,0,0,0,14.35,0,0,0,0,0
 60-70,0,0,2.94,0,0,147.23,0,0,18.65,0,0,0,0,0,0,0,0,0,7.85,0.98,0,1.96,211.03,0.98,0,0,0,0,0.98,0,0,0,0.98,0,9.82,0,0,0,0,0
 72-82,0,0.98,2.94,0,0,287.63,1.96,3.93,16.69,0,0,0.98,0.98,0,0,0,0.98,0,27.49,0,0.98,2.94,247.38,0,0.98,5.89,0,0.98,1.96,0,0,0.98,0,0,9.82,0,0,2.94,0.98,0
 84-94,0,0,4.25,0,0,155.06,0,1.06,14.87,0,2.12,0,4.25,0,2.12,3.19,0,0,8.5,0,1.06,0,148.69,0,0,12.74,0,0,4.25,0,0,0,0,0,13.81,0,1.06,1.06,0,2.12
 96-106,0,0,4.37,1.09,1.09,182.51,0,0,20.76,1.09,0,0,1.09,0,0,1.09,0,0,15.3,0,1.09,0,133.33,0,0,5.46,0,1.09,4.37,0,0,0,0,0,6.56,0,2.19,3.28,0,2.19
108-118,0,0,2.3,0,0,90.38,0.77,0,17.62,0.77,0,0,1.53,0.77,0,0.77,0,0,12.26,0.77,0.77,1.53,150.13,0,0,2.3,0,0,3.06,0,0,0,0,0,3.06,0.77,0.77,1.53,0.77,0
120,0,0,3.92,0,0,117.59,0,0,17.64,0,0,0,1.96,0,0,1.96,1.96,0,17.64,0,1.96,1.96,115.63,0,0,7.84,0,0,0,0,0,0,0,0,7.84,0,0,1.96,0,0
