stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,68.35,26.29,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,12.59,0,0,0,0,0,0,0,0,0,236.02,72.38,0,0,116.44,0,0,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,1,1,9,5,4,55,0,0,0,0,8,0,0,1,45,9,2,14,10,0,0,0,3,52,2,191,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,51.71,0,0,0,0,4.1,0,0,0,47.61,13.13,13.95,3.28,0,0,0,0,0,30.37,1.64,116.56,0,0,1.64,0,1.64
 36-46,0,0,0,0,0,0,0.81,33.84,0.81,0,0.81,0,0,0,0,0.81,41.89,8.86,24.98,2.42,0,0,0,0,0.81,20.95,0.81,74.93,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,1.72,41.89,0,0,0.57,0.57,2.3,0,2.3,0.57,25.25,1.72,14.92,5.74,0,0.57,0,0,0,6.31,0,67.71,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,39.26,0,0,1.96,0,5.89,0.98,2.94,0.98,22.58,0.98,20.61,10.8,0,0.98,0,0,0,3.93,0,37.3,0,0.98,0,0,0
 72-82,0,0,1.96,0,0.98,0,5.89,39.27,0,0,2.94,0,0.98,0,1.96,0.98,25.52,0.98,26.5,11.78,0,0.98,0.98,0,0,1.96,0,20.61,0.98,0.98,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,5.31,24.43,0,0,5.31,0,4.25,0,0,1.06,10.62,1.06,24.43,13.81,0,0,1.06,1.06,0,5.31,0,19.12,0,0,1.06,2.12,0
 96-106,0,0,1.09,0,0,0,4.37,25.14,1.09,0,7.65,0,8.74,0,0,0,4.37,0,36.06,19.67,0,0,0,0,0,5.46,0,12.02,0,0,0,1.09,0
108-118,0,0,0.77,0.77,0.77,0,2.3,19.92,0.77,0.77,4.6,0,0.77,0,0,0,7.66,0,19.15,13.02,0,0,0,0,0,6.13,0,6.13,0.77,0,0,0,0
120,0,0,1.96,0,1.96,0,3.92,19.6,0,0,7.84,1.96,3.92,0,0,0,11.76,0,11.76,11.76,0,0,0,0,0,3.92,0,11.76,0,0,0,0,0
