stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,1,38,0,0,0,0,0
 24-34,0.82,0,0,0,2.46,0,0,1.64,0,0,0,0,0.82,0,0,3.28,0,4.1,171.56,0,0,4.1,0,0,0,0,0,0.82,61.56,0,0,3.28,0,0
 36-46,0,0,0,0,17.72,0,0,8.06,0,0,0,0,0.81,0,0,12.09,0,0.81,269.9,0,0.81,0,0,0,0,0,0,0,75.73,0,0,1.61,0,0
 48-58,0,0.57,0,0,63.69,0,0,10.9,0,0,0,0.57,0,0,0,9.18,0,4.02,285.18,0,0,1.15,0,0,0,0,1.15,0,64.27,0,0,0.57,0,0.57
 60-70,0,0.98,0,0,153.12,0,0,14.72,0.98,0,0,0,0,0,0,25.52,0,1.96,297.4,0,0,0,0,0.98,0,0,0,0,43.19,0,0.98,1.96,0,0.98
 72-82,0,0.98,0,0,153.14,0,0,19.63,0.98,0,0.98,1.96,0,0.98,0,14.72,0,2.94,267.99,0,1.96,0,0,0,0.98,0,0,0,30.43,0.98,1.96,0.98,0,1.96
 84-94,1.06,3.19,0,0,82.84,0,1.06,11.68,0,0,0,0,0,1.06,0,13.81,1.06,3.19,116.82,0,3.19,0,0,0,0,1.06,0,0,22.3,0,2.12,1.06,0,1.06
 96-106,0,1.09,0,0,56.83,2.19,0,16.39,0,1.09,0,1.09,0,1.09,0,15.3,0,3.28,97.26,0,0,2.19,0,0,0,0,0,0,3.28,0,3.28,3.28,0,1.09
108-118,0,0.77,0,0.77,40.6,0,0.77,9.19,0,0,0.77,2.3,0,1.53,0.77,17.62,0.77,3.06,113.36,0,0,2.3,0,1.53,0.77,0,0,0,3.06,0.77,0,0.77,1.53,3.06
120,0,0,0,0,23.52,0,0,5.88,0,0,1.96,0,0,1.96,0,9.8,0,0,90.15,1.96,1.96,1.96,0,0,0,0,1.96,0,1.96,0,0,1.96,1.96,0
