stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,3109.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,134.85,1704.04,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,30.65,12.26,0,0,24.52,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,18.4,5.26,0,7.89,0,0,0,21.03,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,223.44,15.77,0,0,65.72,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,18.88,0,0,6.29,0,3.15,3.15,12.59,0,0,0,0,0,0,0
 14-21,0,0,3,2,9,1,0,2,1,0,0,1,2,0,0,15,0,0,0,0,5,1,0,3,36,8,8,1,1,0,5,0,0,1,22,0,0,2,0,0
 24-34,0,0,2.46,0,5.75,9.85,0,13.13,2.46,0,1.64,1.64,0,0.82,0.82,21.34,0.82,4.1,0,0,16.42,4.1,0,0.82,181.41,0.82,62.39,11.49,0,0,123.13,0,0,0,32.83,0,0,2.46,0,8.21
 36-46,0,0,0.81,0,1.61,49.15,0,39.48,0,1.61,2.42,0,0,2.42,0.81,6.45,0,3.22,0.81,1.61,22.56,0,0,1.61,319.05,1.61,64.45,6.45,0,0,157.91,0,0,0,36.26,0,0,3.22,0,70.9
 48-58,0,0,1.72,0,5.16,2.3,0,95.83,0.57,4.59,5.16,2.3,0,0,0,5.74,2.87,6.89,1.15,2.3,24.67,4.02,1.15,5.74,256.49,0,34.43,7.46,0,0.57,209.44,0,0,0,41.89,0,0,1.15,0,96.97
 60-70,0,0,2.94,0.98,20.61,0.98,0,97.17,2.94,0.98,4.91,14.72,0,0,0,11.78,4.91,15.7,0,0,17.67,2.94,0.98,0.98,174.71,0,29.45,7.85,0,0,107.97,0,0,0,15.7,4.91,0,1.96,0,56.93
 72-82,0,0,16.69,0.98,35.34,1.96,0,95.22,0,16.69,3.93,92.28,0,1.96,0.98,12.76,0,29.45,1.96,1.96,17.67,3.93,0.98,2.94,198.3,0,76.57,20.61,0,0.98,85.4,0,1.96,0,6.87,25.52,0.98,1.96,0.98,17.67
 84-94,0,0,8.5,4.25,57.35,4.25,0,55.23,6.37,13.81,7.43,165.68,0,0,4.25,24.43,2.12,53.1,1.06,2.12,16.99,1.06,2.12,3.19,94.52,0,71.16,19.12,0,1.06,238.96,0,2.12,0,2.12,67.97,1.06,0,0,12.74
 96-106,0,0,14.21,1.09,44.81,3.28,0,26.23,0,9.84,15.3,241.52,0,2.19,2.19,15.3,2.19,79.78,2.19,2.19,15.3,2.19,0,3.28,86.33,0,149.72,12.02,0,2.19,90.71,0,0,0,3.28,90.71,1.09,4.37,4.37,5.46
108-118,0,0,6.89,2.3,48.26,0,0.77,21.45,0.77,9.96,4.6,191.49,0,1.53,2.3,9.96,3.83,53.62,1.53,3.06,15.32,4.6,0.77,1.53,84.26,0,78.89,10.72,0,0,42.13,0,2.3,0,1.53,70.47,0,2.3,0,6.13
120,0,0,3.92,0,13.72,0,0,15.68,0,9.8,7.84,72.51,0,0,5.88,9.8,5.88,33.32,0,1.96,21.56,3.92,0,0,45.08,0,54.87,7.84,0,0,13.72,0,1.96,0,0,27.44,0,0,0,1.96
