stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,7,2,2,0,0,0
 24-34,0,1.64,0,1.64,44.33,0,0,0.82,0.82,0.82,0.82,0,0,0,3.28,0,0,13.95,26.27,0,1.64,0.82,0,0,0.82,0,29.55,10.67,4.1,0,0,0
 36-46,0,0,0,4.03,70.09,0.81,2.42,0,0,0,0,0.81,0,0.81,3.22,0,0,11.28,33.84,0.81,0.81,0,0.81,0,0.81,0,30.62,1.61,3.22,0.81,0,0.81
 48-58,0,0.57,0,14.92,36.15,0,3.44,0,0.57,0,0,0,0,0,6.31,0,0,5.74,47.63,0.57,0,0,0,0,0.57,0,30.99,0,9.18,0,0,0.57
 60-70,0,0,0,48.09,35.33,0,2.94,0.98,0,0,0,0,0,0,2.94,0,0,3.93,49.08,0,0,0,0,0,2.94,0,18.65,0,4.91,0,0,0
 72-82,0,0,0.98,48.1,34.36,0,4.91,0,0,0,0,0,0,0,3.93,0,0,2.94,41.23,0,0,0.98,0,0.98,1.96,0,7.85,0,3.93,0,0,0.98
 84-94,0,5.31,1.06,19.12,33.99,1.06,2.12,0,0,0,0,0,1.06,0,5.31,0,0,10.62,18.05,0,1.06,0,0,0,0,0,11.68,0,0,0,1.06,0
 96-106,0,2.19,1.09,26.23,40.44,0,1.09,0,0,0,0,0,0,0,10.93,1.09,0,5.46,29.51,0,0,1.09,0,0,2.19,0,13.11,0,1.09,1.09,0,0
108-118,0,0,0.77,9.19,27.57,0.77,3.83,0,0,0.77,0,0,0,0,3.83,0,0,9.96,12.26,0,1.53,0,0,0,0,0,13.02,0,0,0,0,0
120,0,0,0,13.72,27.44,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,1.96,7.84,0,3.92,1.96,0,0,1.96,0,3.92,0,1.96,0,0,0
