stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1594.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,79.69,1348.52,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,42.91,0,0,0,24.52,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,13.14,15.77,28.92,0,68.35,0,0,0,0,10.51,0,0,0,0,0,0,0,0,536.26,10.51,0,0,170.87,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,25.18,15.73,0,66.09,0,0,0,0,9.44,0,0,0,0,0,0,0,0,377.64,18.88,0,0,151.05,0,3.15,0,0,6.29,9.44,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,3,58,0,0,0,2,0,0,0,5,0,4,20,0,0,0,0
 24-34,0,0,1.64,1.64,12.31,0,0,2.46,0,0,0,0,0,0,0.82,8.21,0,1.64,121.49,0.82,0,0.82,0,0,0.82,0,0,0,0.82,24.63,0,0,0,0
 36-46,0,0,0,2.42,13.7,0,0,2.42,0.81,0,0,0,0,0,0,6.45,0.81,1.61,54.79,0,0.81,0,0,0,2.42,0,0,0,0,5.64,0,0,0,0.81
 48-58,0,0,0,1.72,17.79,0.57,0,1.72,0,0,0,0,0.57,0,0,6.89,0.57,0.57,17.79,0,0,0,0,0.57,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,1.96,8.83,0,0,4.91,0.98,0,0,0,0,0,0,11.78,0,0,20.61,0,0.98,0,0,0,2.94,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0.98,10.8,0,0,6.87,0,0,0,0,0,0,0,13.74,1.96,0.98,9.82,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,2.12,9.56,1.06,0,4.25,0,0,0,0,0,1.06,0,4.25,0,1.06,7.43,0,0,0,0,0,1.06,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,0,7.65,0,1.09,3.28,1.09,0,1.09,1.09,0,0,0,1.09,0,1.09,4.37,0,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,3.06,0,0,3.06,0,0,0,0,0,0.77,0,1.53,0,2.3,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,1.96,7.84,0,0,3.92,0,0,0,0,0,0,0,1.96,0,1.96,9.8,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0
