stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0.82,0,0,11.49,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,8.86,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0.57,0,0,0,2.3,0,1.72,0,0,0,4.02,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,2.94,0,0,0,1.96,0,0,0,0,0,6.87,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,5.89,0,0,1.96,0,0,0,0,0,1.96,0,0,0.98,8.83,0,0,0.98,0
 84-94,0,0,0,0,0,0,7.43,0,0,1.06,0,1.06,0,0,0,3.19,0,0,0,14.87,0,0,0,0
 96-106,0,0,1.09,1.09,1.09,0,17.49,0,0,4.37,2.19,1.09,0,6.56,0,1.09,0,0,3.28,26.23,0,0,0,0
108-118,0,1.53,0,0,0.77,0.77,22.98,1.53,0,5.36,0,0,0,4.6,0,0.77,0,0,0,18.38,0,0,0,0
120,1.96,3.92,0,0,1.96,0,15.68,0,1.96,5.88,0,0,1.96,5.88,0,1.96,0,0,0,13.72,0,1.96,0,0
