stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,4,1,0,2,0,0,0,0
 24-34,0,0.82,1.64,3.28,0,0.82,1.64,0,0,1.64,0,0.82,0.82,0,1.64,0,0,0,4.93,0,7.39,3.28,0,13.95,0,0,0.82,0,0,0,0
 36-46,0,0,0,3.22,0,1.61,1.61,0,0,0.81,0,1.61,0,0,0,1.61,0,0,12.09,0,12.09,3.22,0,13.7,0.81,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,3.44,1.15,0,0,0.57,0,0,1.15,0,0,0,0,0,10.9,0,6.89,2.3,0,15.49,0,0,0,0,0.57,0,0
 60-70,0,0.98,0,7.85,0,9.82,4.91,0,0,5.89,0,0,0.98,0,0,0,0,0,10.8,0,15.7,3.93,0,15.7,0,0,0.98,0,0,0,0
 72-82,0,1.96,0,10.8,0,2.94,0,0,0.98,5.89,0,0.98,2.94,0,1.96,0.98,0,0,12.76,0,22.58,5.89,0,19.63,0,0,0.98,0.98,0,0,0
 84-94,0,3.19,0,14.87,0,1.06,4.25,2.12,0,11.68,1.06,4.25,4.25,1.06,2.12,0,0,0,12.74,0,20.18,6.37,0,67.97,0,2.12,0,5.31,0,1.06,0
 96-106,0,5.46,0,27.32,0,4.37,2.19,0,1.09,18.58,2.19,3.28,5.46,0,5.46,5.46,0,0,10.93,0,40.44,10.93,0,52.46,0,0,0,13.11,0,0,1.09
108-118,0,2.3,0,26.81,0.77,1.53,6.13,0,0.77,12.26,1.53,8.43,5.36,2.3,0,0.77,0.77,0.77,9.96,0,18.38,11.49,0,42.13,0,0.77,0,15.32,0.77,0,0
120,0,1.96,0,25.48,0,1.96,3.92,0,0,19.6,7.84,1.96,7.84,0,0,1.96,0,0,1.96,1.96,21.56,7.84,0,56.83,1.96,0,0,11.76,0,0,0
