stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,65.89,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,367.78,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,25.18,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,15,4,9,0,0,7,2,0,1,0,0,0,0,0,0,9,0,7,108,2,1,3,3,0,1,18,1,12,32,0,0
 24-34,0,0,0.82,3.28,0,13.13,0,0,3.28,0,0,0,0,0.82,0,0.82,0,1.64,5.75,0,3.28,130.52,0,0.82,0.82,0,0,0.82,0,0.82,0,22.98,1.64,0
 36-46,0,0,0,1.61,0,30.62,0,0,0.81,0,0,0,0,0,0,0,0,0,9.67,0,0.81,79.76,0,0.81,0,0,0,0.81,0,0.81,0,23.36,0,0
 48-58,0,0,0,0.57,0,17.79,1.15,1.15,2.3,0,0,0,0.57,0,0,0,0,0,8.61,0.57,3.44,32.13,0,0,0.57,0,0,2.3,0,0,0,8.03,1.72,0
 60-70,0,0,0,0.98,0,17.67,0,0.98,4.91,0,0,0,0,0,0,0,0,0,9.82,1.96,0.98,27.48,0,1.96,0,0,0.98,0.98,0,0,0,2.94,1.96,0
 72-82,0,0,0,0.98,0,7.85,0,0.98,6.87,1.96,0,0,0,0,0,0.98,0,0,19.63,0,1.96,11.78,0,0.98,0.98,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,6.37,0,0,2.12,0,0,0,0,0,1.06,0,0,0,9.56,0,2.12,12.74,1.06,0,0,0,0,2.12,0,0,0,2.12,0,0
 96-106,0,0,0,1.09,0,4.37,0,1.09,2.19,0,0,0,0,0,1.09,0,1.09,0,6.56,1.09,2.19,3.28,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,3.83,0,0,1.53,0,0,0,0,0,0.77,0,0,0,9.19,0,3.06,8.43,0,0.77,0,0,0,1.53,0,0,0,0,1.53,1.53
120,0,0,0,3.92,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,3.92,0,1.96,17.64,0,0,0,0,0,0,0,0,0,0,0,0
