stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,18.39,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,49.95,10.51,0,0,28.92,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,12.59,3.15,3.15,0,6.29,0,6.29,0,0,0
 14-21,0,0,0,1,4,4,0,0,0,96,0,0,0,0,0,0,6,0,0,1,44,1,8,7,3,0,0,3,69,2,215,0,0,0
 24-34,0,0,0,0,1.64,0,6.57,0.82,0,94.4,0,0,0,0,0.82,0,1.64,0,0,0,29.55,1.64,55.82,0.82,0,2.46,0,0.82,61.56,4.93,171.56,2.46,0,0.82
 36-46,0,0,0,0,0.81,0,5.64,0,0,58.81,0,0,0.81,0,0,0,0.81,0,0,0.81,31.42,0,64.45,0.81,0,4.03,0,0,37.87,0.81,111.99,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,57.38,0,0,0.57,0,0,1.72,1.72,0,0.57,0,22.38,0,55.66,0,0,0,0,0,6.31,0,86.07,0,0,0
 60-70,0,0,0,0,0,0,9.82,0,0,53,0,0,0,0,0,0,0.98,0,0,0,8.83,0,53.98,0,0,0,0,0,7.85,0,58.89,0,0,0.98
 72-82,0,0,0.98,0,0,0,9.82,0,0,65.77,0,0,0,0,0,0,1.96,0,0,0,8.83,0,100.13,1.96,0,0,0,0,1.96,0,34.36,0,0.98,0.98
 84-94,0,0,0,2.12,1.06,0,7.43,0,0,35.05,1.06,0,0,0,0,0,2.12,0,1.06,0,9.56,0,110.45,1.06,0,2.12,0,0,11.68,0,43.54,0,0,0
 96-106,0,0,0,4.37,1.09,0,3.28,0,0,38.25,1.09,0,0,1.09,1.09,0,2.19,0,0,0,3.28,0,191.25,0,0,2.19,0,0,8.74,0,26.23,0,0,0
108-118,0,0,0,3.83,0.77,0.77,0.77,0,0.77,31.4,0,0,0,0.77,0,0.77,2.3,0.77,0,0.77,6.89,0,123.32,0,0,1.53,0,0,9.96,0,19.92,0,0,0
120,0,0,0,1.96,0,0,1.96,1.96,0,13.72,0,0,0,0,0,0,1.96,0,0,0,5.88,0,88.19,0,0,0,0,0,7.84,0,15.68,0,0,0
