stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,1106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,1,0,1,0,0,0,2,0,0,0,0
 24-34,0,0,0,1.64,0,1.64,0,4.93,0,0,0,0,0,0,0,0,0,0.82,2.46,1.64,0,0.82,32.01,233.12,0.82,0,0,0,0.82,0.82,24.63,0,0,0,0
 36-46,0,0,0,1.61,0,5.64,0.81,6.45,0,0.81,0,0,0.81,0,0,0,0,0,4.83,1.61,0,0,62.04,215.11,0.81,0,0,0,0.81,0,20.14,0,0,0,0
 48-58,0.57,0,0,2.3,0,6.31,0,18.36,0.57,9.18,0,4.59,0,0,0,0,0,0,8.03,2.87,0.57,0,78.61,168.12,2.87,0,0,2.3,0.57,0,29.26,0,0,0,0.57
 60-70,1.96,0,0,1.96,0.98,20.61,0,22.58,0,19.63,0,1.96,0,0,0,0,0.98,0,7.85,0.98,0,0.98,75.58,126.62,1.96,0.98,0,0.98,0,0,18.65,0,0,0,0
 72-82,0,0,0.98,7.85,0,26.5,0,32.39,2.94,51.05,0,2.94,0.98,0,0,0,0.98,0,21.6,4.91,0,5.89,73.62,107,4.91,0.98,0,0,0.98,0,39.27,0,0,0.98,0
 84-94,1.06,0,0,15.93,0,16.99,0,69.03,0,56.29,0,10.62,0,1.06,0,0,0,0,18.05,6.37,0,2.12,38.23,158.24,1.06,0,0,1.06,0,0,29.74,0,0,0,0
 96-106,1.09,0,0,25.14,0,17.49,1.09,48.09,1.09,51.36,0,0,2.19,0,1.09,1.09,1.09,0,30.6,4.37,0,2.19,30.6,130.05,3.28,0,0,3.28,0,0,26.23,1.09,1.09,0,0
108-118,2.3,0,0,20.68,0.77,12.26,0,126.38,1.53,39.83,0.77,0,0,0,1.53,0.77,0.77,0,29.11,3.83,0,1.53,22.98,150.89,2.3,0.77,0,0,0,0,21.45,0,1.53,0,0
120,0,0,0,11.76,0,11.76,0,62.71,1.96,33.32,1.96,0,0,0,0,0,1.96,0,25.48,0,1.96,1.96,43.12,229.29,0,0,0,0,0,0,17.64,0,1.96,0,0
