stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,1,14,0,0,0,0,0,1,2,2,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,2.46,1.64,27.09,0.82,0.82,0.82,0,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,3.22,0,25.78,0,0,0.81,0,0,0,0,2.42,1.61,0
 48-58,0,0,0.57,0,0,9.75,0,0,2.3,0.57,0,3.44,0.57,14.35,0,0,0,0,0.57,0,0,1.15,0,0
 60-70,0,0,0,0,0,9.82,0.98,0,0.98,0,0,4.91,0,10.8,0,0.98,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,5.89,0,0,3.93,0,0.98,1.96,0,10.8,0,0,0,0,0.98,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,1.06,0,0,3.19,0,0,1.06,1.06,6.37,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,2.19,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,1.53,2.3,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,1.96,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0
