stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,13.13,0,0,0,0,0.82,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,37.06,0,0,0,0,0,0,0,3.22,0
 48-58,0,0,0.57,2.3,0,0.57,0,0,0,38.44,0,0,0,0,0,0.57,0,4.59,0
 60-70,0,0,0,1.96,0,0.98,0,0,0.98,53.98,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0.98,6.87,0,2.94,0.98,0.98,4.91,88.35,0,0.98,0.98,0,0,0,0,5.89,0
 84-94,0,0,0,3.19,0,3.19,0,0,0,46.73,0,0,0,0,0,0,0,5.31,1.06
 96-106,0,0,1.09,6.56,0,5.46,0,0,1.09,61.2,0,0,0,0,1.09,0,0,2.19,0
108-118,0,0,0.77,1.53,0.77,2.3,0,0,0.77,60.51,0,0.77,0,0,0,0,0,3.06,0
120,0,0,0,3.92,0,3.92,0,0,0,103.87,0,0,0,0,0,0,0,3.92,0
