stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,62,5,0,11,0,0,0,4,1,0,1,0,1,0,0,0,0,7,0,8,178,6,0,11,12,0,8,37,0,1,26,85,0,0,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,1.64,2.46,0,0,0,0,0,0,0,0,0,9.85,0,3.28,30.37,1.64,0,0,0,0,10.67,0,0.82,0,0.82,11.49,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,12.89,0,4.03,22.56,0,0,0,0,0,1.61,0,0.81,0,0,6.45,0,0,0.81,0,0
 48-58,0,0,2.87,0,0,4.02,0,0.57,0,2.3,0,0.57,0,0,1.15,0,0,1.15,0.57,13.77,0.57,1.72,23.53,1.15,0,0.57,0,0,0.57,0,0,0,0,3.44,0,0,1.15,0,0
 60-70,0,0,1.96,0.98,0,9.82,1.96,0.98,1.96,1.96,0.98,0,0,0,0,0,0,0.98,0,20.61,0,1.96,78.52,0,0,0,0,0,0.98,0,0,0.98,0,9.82,0,0,1.96,0,1.96
 72-82,0.98,0,4.91,0.98,0,8.83,0.98,0,1.96,10.8,0.98,0,0,0,0,0,0,0,0,23.56,0,5.89,59.88,0,0.98,0,0,0,0.98,0,0,0,0,0,0.98,0,1.96,0.98,0.98
 84-94,0,0,5.31,0,0,13.81,0,0,1.06,10.62,0,0,0,1.06,0,1.06,0,0,0,20.18,1.06,1.06,39.3,0,0,0,0,0,3.19,0,0,1.06,0,0,1.06,1.06,4.25,1.06,0
 96-106,0,0,2.19,1.09,0,18.58,0,3.28,3.28,6.56,0,0,0,0,0,0,0,0,0,24.04,1.09,3.28,36.06,2.19,0,0,0,1.09,3.28,0,0,1.09,0,0,0,1.09,1.09,3.28,1.09
108-118,0,0,5.36,0.77,0.77,17.62,0,0,0.77,8.43,0.77,0,0,0.77,0,0.77,0.77,0.77,1.53,15.32,0,2.3,32.17,1.53,0,0.77,0,0,3.83,0,0.77,2.3,0,0.77,0,0,1.53,0.77,3.83
120,0,0,1.96,0,0,5.88,0,0,1.96,9.8,5.88,0,0,0,0,0,0,0,0,7.84,3.92,0,39.2,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
