stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,5,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,42.68,0.82,0,0,0,0.82,0,0,0.82,59.92,1.64,0.82,0,0,1.64,0.82,22.98,0,0,5.75,0,0
 36-46,0,0,0,0,2.42,0,0.81,0.81,0,49.15,0.81,0,0,0,1.61,0.81,0,0.81,144.21,3.22,0,0,0,0,0,34.64,0,0,4.83,0,0
 48-58,0,0,0,1.15,12.62,0,0,0.57,0,49.35,0,0,0,0,2.87,0,0,0,200.26,0.57,0,0,0,1.15,0,29.84,0,0,14.92,0,0
 60-70,0,0,0,2.94,47.11,0,0,2.94,0,63.8,0,0,0,0,4.91,0,0,0,431.87,1.96,0,0,0,0.98,0,57.91,0,0,17.67,0,0.98
 72-82,0,1.96,1.96,14.72,56.94,1.96,0,5.89,1.96,146.27,0,0.98,0,0,8.83,0.98,0,0,353.4,2.94,0,0,0.98,2.94,0,42.21,0.98,0.98,33.38,0,0
 84-94,0,1.06,2.12,7.43,33.99,0,1.06,4.25,1.06,173.11,0,0,0,0,5.31,1.06,0,0,165.68,1.06,2.12,0,0,5.31,0,9.56,0,1.06,30.8,0,0
 96-106,0,0,3.28,8.74,38.25,0,0,6.56,2.19,221.85,1.09,0,1.09,1.09,8.74,0,1.09,0,149.72,1.09,1.09,0,0,2.19,0,5.46,2.19,0,43.71,0,0
108-118,0,0,2.3,11.49,29.87,0.77,0.77,3.83,0.77,188.43,0,0,0,0,6.13,0,0,0.77,146.3,2.3,0,0,0,1.53,0,4.6,0.77,0,23.74,0,0
120,0,0,1.96,11.76,29.4,0,0,3.92,0,190.1,0,0,0,0,3.92,0,0,3.92,135.23,0,0,0,0,0,0,5.88,0,0,23.52,1.96,0
