stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,465.85,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,7.89,0,94.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,31.47,0,56.65,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,0,0,8,0,1,0,0,0,0,0,5,1,0,0,23,1,3,0,1,36,2,0,0,0,0,633,1,0,0,2,9,0,0,0,0,8
 24-34,0,0,0,9.85,0,0,11.49,0,4.1,0,0,0.82,0.82,0.82,29.55,4.93,0.82,0.82,53.36,4.1,13.13,0,4.93,77.98,2.46,3.28,1.64,0,0,1184.5,0,2.46,0.82,0,13.13,0,0,1.64,0,77.16
 36-46,0,0,0,6.45,0,0,6.45,0,12.89,0,0,0,0.81,0,13.7,7.25,0,0.81,13.7,4.83,20.14,0,1.61,35.45,0.81,0.81,0,0,0,1257.65,0.81,0,0,0,10.47,0,0,0,0,92.65
 48-58,0,0,0,10.33,0,0,18.94,0,12.05,0.57,4.59,0.57,0,0.57,4.59,5.74,0.57,0,14.35,8.61,13.2,0,1.72,39.02,0,0,0,0,0,1068.42,0,0,0,0,10.33,0,0,2.87,0,90.09
 60-70,0,0,0,12.76,0.98,0,4.91,0,16.69,0,0.98,0,0,0,4.91,5.89,0,0,6.87,2.94,16.69,0,0,21.59,0,0,0,0,0,1014.89,0,0,0,0,3.93,0.98,0,0,0,45.15
 72-82,0,0,0,34.36,0,0,21.6,0,18.65,0,3.93,1.96,0,0,7.85,3.93,0,0,3.93,11.78,17.67,0,0,17.67,0,0,1.96,0,0,1017,0,0.98,0,0,0.98,1.96,0,0.98,1.96,47.12
 84-94,0,0,0,64.78,2.12,0,5.31,0,57.35,0,3.19,2.12,0,2.12,31.86,5.31,0,1.06,6.37,6.37,27.61,0,1.06,16.99,0,1.06,0,0,0,2528.71,0,0,0,0,1.06,6.37,1.06,0,0,21.24
 96-106,0,0,0,86.33,1.09,0,17.49,0,53.55,0,7.65,9.84,0,4.37,29.51,0,3.28,4.37,2.19,15.3,32.79,0,0,40.44,0,2.19,1.09,0,0,2289.51,0,1.09,0,0,2.19,3.28,0,1.09,1.09,40.44
108-118,0,0,0,101.87,2.3,2.3,11.49,0,78.89,0.77,7.66,17.62,0,2.3,42.89,3.06,0.77,5.36,4.6,9.96,38.3,0,0,31.4,0,0.77,1.53,0,0.77,2098.74,0,2.3,0,0,0,8.43,0,1.53,0.77,43.66
120,0,0,0,97.99,3.92,0,3.92,1.96,52.91,0,5.88,7.84,0,0,23.52,3.92,1.96,7.84,1.96,0,43.12,3.92,1.96,27.44,0,3.92,0,0,0,1185.67,0,0,0,0,0,1.96,0,0,0,13.72
