stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,5.26,0,0,0,0,92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,318.07,44.69,0,0,233.96,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,119.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.22,22.03,0,0,201.41,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,59,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,24,0,0,10,70,2,3,5,1,0,3,0,21,0,125,34,0,0,8,0,0
 24-34,0,0,0,1.64,24.63,0.82,11.49,0,4.1,0.82,3.28,0.82,0,1.64,0,0,0,0.82,0,0.82,68.13,0,0,14.78,67.31,3.28,2.46,6.57,0,0,17.24,0,0,1.64,18.06,19.7,0,0,19.7,0,0
 36-46,0,0,0,0.81,17.72,0.81,6.45,0,6.45,2.42,12.89,0,0,0.81,0,0,0,0,0,0,108.77,0.81,3.22,22.56,41.89,4.03,2.42,8.06,0,0.81,13.7,0,0,0.81,0,12.09,0,0,13.7,0,0.81
 48-58,0,0,0,0,9.18,0,8.03,0,5.16,2.3,17.79,0,0,0,0,0,0,0.57,0,2.87,129.11,0.57,4.59,13.77,26.4,0,0,4.59,0,1.15,14.35,0,0,0,0,13.2,0,1.15,16.07,0,0
 60-70,0,0,0.98,0,22.58,0,5.89,0,7.85,0.98,30.43,0,0,0,0.98,0,0,0.98,0,0.98,188.45,0,1.96,11.78,24.54,0,0.98,5.89,0,0,16.69,0,0,0,0,4.91,0,6.87,10.8,1.96,0
 72-82,0,0,0,0,19.63,0,13.74,0,4.91,1.96,38.28,2.94,0,1.96,0,0.98,0,3.93,0,0,141.36,0.98,5.89,12.76,18.65,1.96,0,10.8,0,1.96,15.71,0,0,0,0,1.96,0,6.87,20.61,4.91,0
 84-94,0,0,0,0,41.42,0,21.24,0,19.12,2.12,15.93,5.31,1.06,1.06,0,2.12,4.25,0,0,9.56,118.95,1.06,5.31,13.81,14.87,4.25,0,5.31,0,1.06,57.35,0,0,3.19,0,2.12,2.12,4.25,15.93,1.06,2.12
 96-106,0,0,0,0,52.46,1.09,12.02,0,9.84,3.28,21.86,8.74,0,1.09,1.09,0,1.09,3.28,0,3.28,84.15,1.09,4.37,17.49,13.11,0,2.19,7.65,0,2.19,50.27,1.09,0,0,0,2.19,3.28,0,19.67,2.19,0
108-118,0,0,0,0,48.26,0,9.19,0,19.15,0,9.96,5.36,0,0,0.77,1.53,4.6,0.77,2.3,3.83,98.04,0,0.77,9.19,19.15,1.53,1.53,6.89,0,3.83,27.57,0,0,2.3,0,0,4.6,2.3,13.02,0.77,0
120,0,0,0,0,54.87,1.96,5.88,1.96,13.72,0,17.64,5.88,0,0,1.96,0,1.96,1.96,1.96,0,52.91,0,1.96,5.88,17.64,0,0,7.84,1.96,1.96,29.4,0,0,0,0,0,3.92,1.96,9.8,1.96,0
