stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,1,84,0,1,3,0,0,0,0
 24-34,0,4.1,0.82,1.64,0,0,0,0,3.28,0,0,0,0.82,0,3.28,0,0,2.46,0,0,0,9.85,0,13.95,0.82,87.01,0.82,0,1.64,0,0,0,0
 36-46,0,4.83,0,2.42,0,0,0,0,4.83,0,0,0,0,0,10.47,0,0,0,0.81,0,0.81,14.5,1.61,15.31,0,54.79,1.61,0,3.22,0,0,0,0
 48-58,0,20.08,0,6.89,0,0.57,0,1.15,1.72,6.31,0,0,1.15,0,14.35,0.57,0.57,2.87,0,0,0,15.49,0,4.02,1.15,59.1,0.57,0,5.16,0,0,0,1.15
 60-70,0,40.24,0,19.63,0,0,0.98,1.96,1.96,2.94,0.98,0,0.98,0.98,27.48,0,0,6.87,0.98,0,0,36.32,0,3.93,1.96,65.76,1.96,0,6.87,2.94,0,0,1.96
 72-82,0,26.5,0.98,12.76,0,0,0,0,4.91,4.91,0.98,0,1.96,0,46.14,0,0,6.87,0.98,0.98,0,23.56,0,0.98,1.96,20.61,0,0,1.96,0,0,1.96,2.94
 84-94,0,49.92,1.06,4.25,0,0,1.06,2.12,7.43,2.12,1.06,1.06,9.56,1.06,87.09,1.06,0,5.31,0,0,0,15.93,1.06,10.62,2.12,25.49,8.5,0,0,2.12,1.06,1.06,0
 96-106,0,25.14,2.19,12.02,1.09,1.09,1.09,4.37,28.41,0,0,0,9.84,0,120.21,0,0,16.39,0,0,1.09,21.86,0,7.65,0,15.3,3.28,0,0,0,0,2.19,0
108-118,0,9.96,1.53,9.96,0,2.3,0,3.06,24.51,0,0,0,3.83,0,87.32,0.77,0,8.43,0,0.77,0.77,19.15,0,5.36,0,18.38,6.89,0,0.77,0,0,0.77,0
120,0,5.88,0,9.8,0,1.96,0,0,15.68,0,0,0,0,0,43.12,1.96,0,3.92,0,0,0,9.8,1.96,0,0,3.92,3.92,0,1.96,0,0,0,0
